data_layer,数据获取方,来源编号,指标,year,数值,单位,数据来源,原始数列名,source_label
L0,用户提供,L0-A1b,入境旅游人次,1999,116.0,千人次,秦皇岛市统计局,旅游人数:入境:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,入境旅游人次,2000,139.3,千人次,秦皇岛市统计局,旅游人数:入境:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,入境旅游人次,2001,140.01,千人次,秦皇岛市统计局,旅游人数:入境:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2002,8011.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2003,5923.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2004,12120.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2005,13020.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2006,14090.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2007,15100.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2008,12268.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2009,16384.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2010,18605.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2011,21012.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2012,23130.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2013,25652.4,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2014,28519.7,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2015,33440.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2016,41889.3,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2017,52235.0,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2018,62179.8,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2019,72276.7,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2020,26801.1,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2021,31229.3,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2022,18857.8,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2023,80255.2,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
L0,用户提供,L0-A1b,国内旅游人次,2024,89457.2,千人次,秦皇岛市统计局,旅游人数:国内:河北:秦皇岛,friend_archive_city_statistics
