attraction_name,region_code,district,road_congestion_index,congestion_vs_normal,visitor_index,visitor_vs_normal,date,daily_rank,tags,longitude,latitude,congestion_anomaly,data_type,source_label
北戴河碧螺塔海上酒吧公园,BDH,北戴河区,1.514,0.3488,2.75,5.946,2022-07-16,85.0,旅游景点;其他,119.541399,39.82669,0,relative_index_not_absolute_visitors,friend_archive_baidu_map
北戴河碧螺塔海上酒吧公园,BDH,北戴河区,1.494,0.331,2.22,4.6073,2022-07-17,94.0,旅游景点;其他,119.541399,39.82669,0,relative_index_not_absolute_visitors,friend_archive_baidu_map
北戴河碧螺塔海上酒吧公园,BDH,北戴河区,1.49,0.0846,3.62,0.883,2022-08-02,99.0,旅游景点;其他,119.541399,39.82669,0,relative_index_not_absolute_visitors,friend_archive_baidu_map
北戴河碧螺塔海上酒吧公园,BDH,北戴河区,1.461,0.1393,3.2,1.6164,2023-06-03,98.0,旅游景点;其他,119.541399,39.82669,0,relative_index_not_absolute_visitors,friend_archive_baidu_map
北戴河碧螺塔海上酒吧公园,BDH,北戴河区,1.398,0.0901,2.22,0.8151,2023-06-04,85.0,旅游景点;其他,119.541399,39.82669,0,relative_index_not_absolute_visitors,friend_archive_baidu_map
北戴河碧螺塔海上酒吧公园,BDH,北戴河区,1.633,0.2734,3.11,1.5428,2023-06-10,77.0,旅游景点;其他,119.541399,39.82669,0,relative_index_not_absolute_visitors,friend_archive_baidu_map
北戴河碧螺塔海上酒吧公园,BDH,北戴河区,1.593,0.2422,2.22,0.8151,2023-06-11,28.0,旅游景点;其他,119.541399,39.82669,0,relative_index_not_absolute_visitors,friend_archive_baidu_map
北戴河碧螺塔海上酒吧公园,BDH,北戴河区,1.654,0.2898,4.14,2.385,2023-06-17,66.0,旅游景点;其他,119.541399,39.82669,0,relative_index_not_absolute_visitors,friend_archive_baidu_map
北戴河碧螺塔海上酒吧公园,BDH,北戴河区,1.621,0.264,3.09,1.5265,2023-06-18,40.0,旅游景点;其他,119.541399,39.82669,0,relative_index_not_absolute_visitors,friend_archive_baidu_map
北戴河碧螺塔海上酒吧公园,BDH,北戴河区,2.282,0.7795,5.68,3.6441,2023-06-23,33.0,旅游景点;其他,119.541399,39.82669,0,relative_index_not_absolute_visitors,friend_archive_baidu_map
