date,keyword,search_index,pc_index,mobile_index,is_weekend,source_label
2016-01-01,北戴河,1262,369,893,0,friend_archive_baidu_index
2016-01-02,北戴河,1325,416,909,1,friend_archive_baidu_index
2016-01-03,北戴河,1298,400,898,1,friend_archive_baidu_index
2016-01-04,北戴河,1509,622,887,0,friend_archive_baidu_index
2016-01-05,北戴河,1419,540,879,0,friend_archive_baidu_index
2016-01-06,北戴河,1371,516,855,0,friend_archive_baidu_index
2016-01-07,北戴河,1376,504,872,0,friend_archive_baidu_index
2016-01-08,北戴河,1319,462,857,0,friend_archive_baidu_index
2016-01-09,北戴河,1221,357,864,1,friend_archive_baidu_index
2016-01-10,北戴河,1254,380,874,1,friend_archive_baidu_index
2016-01-11,北戴河,1350,492,858,0,friend_archive_baidu_index
2016-01-12,北戴河,1393,537,856,0,friend_archive_baidu_index
2016-01-13,北戴河,1406,544,862,0,friend_archive_baidu_index
2016-01-14,北戴河,1356,479,877,0,friend_archive_baidu_index
2016-01-15,北戴河,1339,457,882,0,friend_archive_baidu_index
2016-01-16,北戴河,1196,293,903,1,friend_archive_baidu_index
2016-01-17,北戴河,1286,366,920,1,friend_archive_baidu_index
2016-01-18,北戴河,1351,448,903,0,friend_archive_baidu_index
2016-01-19,北戴河,1422,521,901,0,friend_archive_baidu_index
2016-01-20,北戴河,1397,513,884,0,friend_archive_baidu_index
2016-01-21,北戴河,1344,479,865,0,friend_archive_baidu_index
2016-01-22,北戴河,1385,513,872,0,friend_archive_baidu_index
2016-01-23,北戴河,1198,335,863,1,friend_archive_baidu_index
2016-01-24,北戴河,4635,1820,2815,1,friend_archive_baidu_index
2016-01-25,北戴河,3162,1208,1954,0,friend_archive_baidu_index
2016-01-26,北戴河,1683,743,940,0,friend_archive_baidu_index
2016-01-27,北戴河,1578,637,941,0,friend_archive_baidu_index
2016-01-28,北戴河,1591,662,929,0,friend_archive_baidu_index
2016-01-29,北戴河,1420,535,885,0,friend_archive_baidu_index
2016-01-30,北戴河,1501,468,1033,1,friend_archive_baidu_index
2016-01-31,北戴河,1646,623,1023,1,friend_archive_baidu_index
2016-02-01,北戴河,1450,530,920,0,friend_archive_baidu_index
2016-02-02,北戴河,1429,546,883,0,friend_archive_baidu_index
2016-02-03,北戴河,1408,510,898,0,friend_archive_baidu_index
2016-02-04,北戴河,1405,499,906,0,friend_archive_baidu_index
2016-02-05,北戴河,1321,434,887,0,friend_archive_baidu_index
2016-02-06,北戴河,1198,335,863,1,friend_archive_baidu_index
2016-02-07,北戴河,1085,274,811,1,friend_archive_baidu_index
2016-02-08,北戴河,1290,380,910,0,friend_archive_baidu_index
2016-02-09,北戴河,1427,434,993,0,friend_archive_baidu_index
2016-02-10,北戴河,1507,383,1124,0,friend_archive_baidu_index
2016-02-11,北戴河,1501,419,1082,0,friend_archive_baidu_index
2016-02-12,北戴河,1451,461,990,0,friend_archive_baidu_index
2016-02-13,北戴河,1425,409,1016,1,friend_archive_baidu_index
2016-02-14,北戴河,1475,543,932,1,friend_archive_baidu_index
2016-02-15,北戴河,1545,606,939,0,friend_archive_baidu_index
2016-02-16,北戴河,1588,640,948,0,friend_archive_baidu_index
2016-02-17,北戴河,1648,692,956,0,friend_archive_baidu_index
2016-02-18,北戴河,1732,768,964,0,friend_archive_baidu_index
2016-02-19,北戴河,1610,665,945,0,friend_archive_baidu_index
2016-02-20,北戴河,1472,513,959,1,friend_archive_baidu_index
2016-02-21,北戴河,1432,476,956,1,friend_archive_baidu_index
2016-02-22,北戴河,1583,662,921,0,friend_archive_baidu_index
2016-02-23,北戴河,1643,696,947,0,friend_archive_baidu_index
2016-02-24,北戴河,1578,631,947,0,friend_archive_baidu_index
2016-02-25,北戴河,1586,642,944,0,friend_archive_baidu_index
2016-02-26,北戴河,1579,642,937,0,friend_archive_baidu_index
2016-02-27,北戴河,1385,445,940,1,friend_archive_baidu_index
2016-02-28,北戴河,1480,499,981,1,friend_archive_baidu_index
2016-02-29,北戴河,1636,721,915,0,friend_archive_baidu_index
2016-03-01,北戴河,1596,648,948,0,friend_archive_baidu_index
2016-03-02,北戴河,1625,645,980,0,friend_archive_baidu_index
2016-03-03,北戴河,1664,693,971,0,friend_archive_baidu_index
