name,major_category,minor_category,longitude,latitude,poi_family
金洋宾馆,酒店住宿,其他,119.726662,39.9481,hotel
昌黎服务站住宿,酒店住宿,舒适型酒店,119.044945,39.488792,hotel
昌黎福通酒店,酒店住宿,其他,118.891252,39.637275,hotel
振南酒店,酒店住宿,舒适型酒店,118.930364,40.046458,hotel
昌黎金江酒店,酒店住宿,其他,119.195204,39.55027,hotel
北戴河新区翠湖湾豪华酒店,酒店住宿,其他,119.233804,39.58666,hotel
秦皇岛金旺农家院,酒店住宿,其他,119.213947,39.581073,hotel
翡翠岛红悦农家院,酒店住宿,其他,119.219204,39.574351,hotel
北戴河金泽农家山庄,酒店住宿,其他,119.221092,39.57577,hotel
黄金海岸乔乔农家院,酒店住宿,其他,119.220305,39.582117,hotel
顺天假日酒店,酒店住宿,其他,119.234561,39.585638,hotel
搏慧农家院,酒店住宿,其他,119.216175,39.580483,hotel
刘台庄镇青源酒店,酒店住宿,其他,119.159281,39.551562,hotel
秦皇岛黄金海岸翡翠岛翠湖湾豪华酒店,酒店住宿,其他,119.233344,39.586959,hotel
冰冰农家院,酒店住宿,其他,119.219797,39.57464,hotel
云朵农家院,酒店住宿,其他,119.221382,39.582282000000006,hotel
七里韩舍.民墅,酒店住宿,其他,119.220849,39.573124,hotel
鱼家小栈,酒店住宿,其他,119.220437,39.575993,hotel
昌黎京津晋之家农家院,酒店住宿,其他,119.21959,39.581978,hotel
昌黎松林豪华酒店,酒店住宿,其他,119.231506,39.588094000000005,hotel
秦皇岛秦海红农家院,酒店住宿,其他,119.222083,39.575888,hotel
秦皇岛黄金海岸翡翠岛顺天假日豪华酒店A座,酒店住宿,其他,119.234707,39.585636,hotel
赵鑫满农家院,酒店住宿,其他,119.172717,39.590921,hotel
秦皇岛秦海红农家院,酒店住宿,其他,119.223008,39.575802,hotel
望海观田·民墅,酒店住宿,其他,119.218282,39.57351,hotel
水岸人家,酒店住宿,其他,119.657314,40.070494,hotel
九门景庭旅居中心,酒店住宿,舒适型酒店,119.735961,40.120644,hotel
天女小镇-温源谷豪华酒店,酒店住宿,其他,119.525177,40.117858,hotel
天女小镇-丹栗旅馆,酒店住宿,其他,119.52309,40.118152,hotel
燃野农家菜馆餐饮住宿,酒店住宿,舒适型酒店,119.538957,40.06087,hotel
秦皇岛祖山东门车厂新村民宿,酒店住宿,其他,119.526302,40.116247,hotel
秦皇岛俊兴农家院,酒店住宿,其他,119.318325,40.050953,hotel
秦皇岛北戴河小财猫家庭公寓,酒店住宿,其他,119.309997,40.045771,hotel
秦皇岛峪见六号院,酒店住宿,其他,119.377702,40.02304,hotel
秦皇岛biggerkimi别墅,酒店住宿,其他,119.421779,39.986005,hotel
青龙祖山木寨豪华酒店,酒店住宿,其他,119.430703,40.148254,hotel
祖山云海豪华酒店,酒店住宿,其他,119.429009,40.147141000000005,hotel
祖山景区腾信宾馆,酒店住宿,其他,119.430169,40.147834,hotel
老韩农家菜馆,酒店住宿,其他,119.376834,40.127377,hotel
秦皇岛祖山景区木兰酒店,酒店住宿,其他,119.431015,40.14978,hotel
如家小憩,酒店住宿,其他,119.331777,40.097392,hotel
家铭餐馆,酒店住宿,其他,119.341591,40.095849,hotel
秦皇岛有更农家院,酒店住宿,其他,119.342651,40.09626,hotel
罗家豪华酒店,酒店住宿,其他,119.28059,40.054087,hotel
子政豪华酒店,酒店住宿,其他,119.159182,40.171943,hotel
杨利华农家院民宿酒店,酒店住宿,其他,119.177645,40.15828200000001,hotel
青龙尼晶旅馆,酒店住宿,其他,119.055985,40.346758,hotel
界领口村精品民宿酒店,酒店住宿,舒适型酒店,119.294551,40.161545,hotel
明月酒店,酒店住宿,其他,119.440747,40.224874,hotel
满韵酒店,酒店住宿,其他,119.440792,40.226963,hotel
旅馆超级市场,酒店住宿,舒适型酒店,119.440853,40.223986,hotel
秦皇岛祖山木寨豪华酒店,酒店住宿,其他,119.442838,40.222279,hotel
豪华酒店中国,酒店住宿,其他,119.439345,40.227784,hotel
迎宾餐馆宾馆,酒店住宿,其他,119.44075,40.224886,hotel
秦皇岛山海关林李农家院,酒店住宿,其他,119.34482,40.287516,hotel
东升酒店,酒店住宿,舒适型酒店,119.219954,40.419093,hotel
红日酒店,酒店住宿,舒适型酒店,119.05732,40.474377,hotel
顺发旅馆餐馆,酒店住宿,其他,119.537296,40.192255,hotel
龙龙农家院,酒店住宿,其他,119.570589,40.191254,hotel
天河浴池酒店,酒店住宿,舒适型酒店,119.481406,40.331487,hotel
周民餐馆旅店,酒店住宿,舒适型酒店,119.509155,40.495129,hotel
山海间温泉艺术豪华酒店,酒店住宿,其他,118.82096,40.208213,hotel
三和酒店,酒店住宿,其他,118.853685,40.271765,hotel
贵宾楼民宿酒店,酒店住宿,舒适型酒店,118.857717,40.276292000000005,hotel
旅店,酒店住宿,舒适型酒店,119.045315,40.469812000000005,hotel
鸿福旅店,酒店住宿,舒适型酒店,118.782556,40.399799,hotel
福鑫宾馆,酒店住宿,其他,118.798121,40.402729,hotel
福鑫宾馆,酒店住宿,其他,118.77913,40.405188,hotel
正阳红餐馆旅馆,酒店住宿,舒适型酒店,118.779435,40.405426000000006,hotel
乐乐快捷酒店,酒店住宿,舒适型酒店,118.994009,39.579905,hotel
老郭酒店,酒店住宿,舒适型酒店,118.989519,39.578864,hotel
温泉酒店,酒店住宿,其他,119.054596,39.713585,hotel
新华酒店,酒店住宿,舒适型酒店,119.015045,39.713683,hotel
北大酒店,酒店住宿,其他,118.909495,39.657485,hotel
靖安酒店,酒店住宿,其他,118.909726,39.657701,hotel
司机之家休息室,酒店住宿,舒适型酒店,118.910593,39.658804,hotel
路北酒店,酒店住宿,其他,118.943586,39.731863,hotel
秦皇岛亿都商务酒店,酒店住宿,豪华型酒店,118.852776,39.731038,hotel
卢龙鑫辉商务酒店,酒店住宿,其他,118.849824,39.730118,hotel
康乐旅馆,酒店住宿,舒适型酒店,118.851933,39.730524,hotel
鑫辉足疗酒店,酒店住宿,其他,118.84989,39.730183,hotel
惠源酒店,酒店住宿,舒适型酒店,118.855003,39.730701,hotel
温馨快捷酒店,酒店住宿,舒适型酒店,118.844921,39.729721,hotel
大众酒店,酒店住宿,舒适型酒店,118.849708,39.730541,hotel
鑫鑫旅馆,酒店住宿,舒适型酒店,118.808495,39.744894,hotel
秀花酒店,酒店住宿,舒适型酒店,118.808159,39.745094,hotel
长城餐馆旅馆,酒店住宿,其他,118.951706,39.89097,hotel
国飞温泉豪华酒店,酒店住宿,其他,118.90919,39.910673,hotel
驿旅阳光酒店,酒店住宿,其他,118.90869,39.910424,hotel
福祥居饭店旅馆,酒店住宿,舒适型酒店,119.016768,39.977068,hotel
毛家酒店,酒店住宿,舒适型酒店,118.931694,40.05192,hotel
桥东酒店,酒店住宿,舒适型酒店,118.937778,40.05661799999999,hotel
红华酒店,酒店住宿,其他,118.939401,40.101664,hotel
博达酒店,酒店住宿,舒适型酒店,118.93797,40.107238,hotel
源辰酒店,酒店住宿,舒适型酒店,118.938024,40.106715,hotel
凤明酒店酒店,酒店住宿,其他,119.16108,39.535078,hotel
俊达酒店,酒店住宿,舒适型酒店,119.158254,39.525169,hotel
天外天酒店,酒店住宿,舒适型酒店,119.149989,39.486622,hotel
鑫客隆酒店,酒店住宿,其他,119.151195,39.489274,hotel
悦仁洗浴酒店,酒店住宿,舒适型酒店,119.151761,39.491213,hotel
昌黎华雅农家院,酒店住宿,其他,119.286853,39.58445,hotel
碧海温泉假日豪华酒店,酒店住宿,其他,119.284635,39.586898,hotel
秦皇岛渔海居豪华酒店,酒店住宿,其他,119.285376,39.585848,hotel
和泰酒店,酒店住宿,其他,119.28641,39.585329,hotel
珠联璧合酒店,酒店住宿,其他,119.288964,39.58291,hotel
和暴酒店,酒店住宿,其他,119.285641,39.585386,hotel
学信酒店,酒店住宿,其他,119.28895,39.584944,hotel
海之润酒店,酒店住宿,其他,119.290949,39.581261,hotel
餐厅住宿,酒店住宿,舒适型酒店,119.28496,39.586265,hotel
昌黎渔港酒店,酒店住宿,其他,119.286217,39.584946,hotel
连元酒店,酒店住宿,其他,119.285668,39.585379,hotel
酒店A区,酒店住宿,其他,119.286482,39.584649,hotel
秦皇岛渔海居酒店,酒店住宿,其他,119.285753,39.585679,hotel
碧水湾度假村,酒店住宿,其他,119.307655,39.639658,hotel
北戴河阿尔卡迪亚滨海度假豪华酒店,酒店住宿,豪华型酒店,119.31035,39.631509,hotel
昌黎莉莲芭芭拉别墅,酒店住宿,其他,119.313786,39.638333,hotel
昌黎爱上公寓,酒店住宿,其他,119.310402,39.631722,hotel
秦皇岛善译公寓,酒店住宿,其他,119.31038,39.631867,hotel
秦皇岛洋洋妈妈公寓,酒店住宿,其他,119.310483,39.631763,hotel
秦皇岛小神兽民宿酒店,酒店住宿,其他,119.312237,39.630272000000005,hotel
秦皇岛杨小光光公寓,酒店住宿,其他,119.310169,39.631545,hotel
昌黎旅游服务公寓,酒店住宿,其他,119.310695,39.625324,hotel
昌黎海滩房公寓,酒店住宿,其他,119.310778,39.632423,hotel
昌黎信誉公寓,酒店住宿,其他,119.310421,39.624807,hotel
秦皇岛阿尔卡迪亚公寓,酒店住宿,其他,119.311024,39.629768,hotel
昌黎wy王颖公寓,酒店住宿,其他,119.310773,39.631683,hotel
昌黎悟空找房公寓,酒店住宿,其他,119.308396,39.63213,hotel
秦皇岛阿尔卡迪亚洋房公寓,酒店住宿,其他,119.307413,39.626573,hotel
腾静静公寓,酒店住宿,其他,119.308399,39.629231,hotel
昌黎海滨小镇四人度假公寓,酒店住宿,其他,119.310992,39.632109,hotel
驾羽公寓,酒店住宿,其他,119.306773,39.630739,hotel
秦皇岛茶公寓,酒店住宿,其他,119.310897,39.631736,hotel
秦皇岛一诺千金公寓,酒店住宿,其他,119.310349,39.631752,hotel
昌黎凭栏观海公寓,酒店住宿,其他,119.310311,39.631661,hotel
秦皇岛吉地良田公寓,酒店住宿,其他,119.310796,39.63182,hotel
昌黎牛小牛小公寓,酒店住宿,其他,119.310531,39.625283,hotel
昌黎栖海桃源公寓,酒店住宿,其他,119.311687,39.63284,hotel
首领民宿,酒店住宿,其他,119.310851,39.63167,hotel
昌黎沙海之吻公寓,酒店住宿,其他,119.310714,39.63175,hotel
秦皇岛杨淑梅公寓,酒店住宿,其他,119.310823,39.632476,hotel
Lyhy的民宿,酒店住宿,舒适型酒店,119.309869,39.632022,hotel
北戴河荣玺山庄度假别墅,酒店住宿,其他,119.310649,39.631453,hotel
秦皇岛面朝大海春暖花海别墅,酒店住宿,其他,119.310346,39.63146,hotel
Longevity公寓,酒店住宿,其他,119.310345,39.631717,hotel
秦皇岛北戴河阿尔卡迪亚度假村,酒店住宿,其他,119.310783,39.631691,hotel
昌黎娜家小窝在海边豪华酒店式公寓,酒店住宿,其他,119.310676,39.631719,hotel
信誉公寓,酒店住宿,其他,119.310822,39.632395,hotel
秦皇岛阿尔卡迪亚五星公寓,酒店住宿,其他,119.310695,39.631725,hotel
秦皇岛秦皇岛箫小主子公寓,酒店住宿,其他,119.310041,39.631876,hotel
秦皇岛大海之约公寓,酒店住宿,其他,119.310378,39.631666,hotel
昌黎海边的小鹿公寓,酒店住宿,舒适型酒店,119.31033,39.631757,hotel
十鲤汤泉海景酒店,酒店住宿,其他,119.308964,39.630184,hotel
北戴河阿尔卡迪亚海之蓝公寓,酒店住宿,其他,119.309968,39.631179,hotel
秦皇岛阿尔卡迪亚小仙家公寓,酒店住宿,其他,119.310561,39.625284,hotel
秦皇岛海边漫步的螃蟹公寓,酒店住宿,其他,119.31111,39.632455,hotel
昌黎黄金海岸美丽的爱情海公寓,酒店住宿,其他,119.310861,39.625297,hotel
秦皇岛远方的家左耳居公寓,酒店住宿,其他,119.310898,39.631769,hotel
秦皇岛北戴河阿尔卡迪亚滨海度假民宿,酒店住宿,其他,119.310702,39.631674,hotel
秦皇岛住这还行酒店式公寓,酒店住宿,其他,119.310786,39.632408,hotel
秦皇岛阿尔卡迪亚度假公寓,酒店住宿,其他,119.310322,39.63183,hotel
渔岛菲奢尔度假豪华酒店,酒店住宿,豪华型酒店,119.290381,39.595323,hotel
秦皇岛阿尔卡迪亚公寓,酒店住宿,其他,119.30376,39.633962,hotel
悦澜轻奢公寓,酒店住宿,其他,119.297068,39.627707,hotel
百纳酒店,酒店住宿,其他,119.267838,39.60574,hotel
昌黎帅气的妮子公寓,酒店住宿,其他,119.30197,39.635104,hotel
昌黎佳佳农家院,酒店住宿,舒适型酒店,119.25529,39.620296,hotel
阿尔卡迪亚遇见你公寓,酒店住宿,其他,119.303603,39.633991,hotel
望海渔湾餐馆宾馆,酒店住宿,其他,119.279804,39.590189,hotel
度假豪华酒店站,酒店住宿,其他,119.291452,39.595639000000006,hotel
昌黎悦玩悦宿公寓,酒店住宿,其他,119.303516,39.634082,hotel
北戴河阿尔卡迪亚爱情海公寓,酒店住宿,舒适型酒店,119.303528,39.633955,hotel
秦皇岛房东小小垚公寓,酒店住宿,其他,119.301891,39.63512,hotel
昌黎阿卡蔡公馆公寓,酒店住宿,其他,119.303663,39.633896,hotel
渔岛菲奢尔森泽园,酒店住宿,其他,119.284743,39.603949,hotel
昌黎阿卡海澜公寓,酒店住宿,其他,119.303734,39.634069,hotel
昌黎老姐农家院,酒店住宿,其他,119.257963,39.63004,hotel
昌黎浪漫家园公寓,酒店住宿,其他,119.303571,39.633923,hotel
秦皇岛渔岛海景温泉豪华酒店,酒店住宿,其他,119.285123,39.605325,hotel
