name,major_category,minor_category,longitude,latitude,poi_family
专用停车场,交通设施,停车场,119.677271,39.943293,parking
昊腾专用停车场,交通设施,停车场,119.69371,39.948556,parking
昌黎服务区专用停车场,交通设施,停车场,119.046132,39.489248,parking
昌黎安丰颐养中心附属医院停车场,交通设施,停车场,118.891764,39.636122,parking
专用停车场,交通设施,停车场,119.763984,40.054726,parking
专用停车场,交通设施,停车场,119.755698,40.065356,parking
国家地质公园长寿山景区南门南专用停车场,交通设施,停车场,119.75168,40.06673,parking
国家地质公园长寿山景区停车场,交通设施,停车场,119.752311,40.06668,parking
团队大巴专用停车场,交通设施,停车场,119.507659,40.125449,parking
天女小镇停车场,交通设施,停车场,119.529488,40.114088,parking
祖山风景区东门南专用停车场,交通设施,停车场,119.529236,40.113267,parking
祖山风景区东门北专用停车场,交通设施,停车场,119.529841,40.114023,parking
济心寺停车场,交通设施,停车场,119.433698,40.145179,parking
河北百润射击场专用停车场,交通设施,停车场,119.318135,40.084939000000006,parking
河北百润射击场停车场,交通设施,停车场,119.317524,40.084838,parking
龙云谷2号专用停车场,交通设施,停车场,119.340765,40.063687,parking
龙云谷山门专用停车场,交通设施,停车场,119.339685,40.062671,parking
龙云谷山上专用停车场,交通设施,停车场,119.341531,40.061676,parking
龙云谷3号专用停车场,交通设施,停车场,119.340092,40.063048,parking
龙云谷大车专用停车场,交通设施,停车场,119.347143,40.064854,parking
龙云谷1号专用停车场,交通设施,停车场,119.343603,40.064683,parking
青龙东服务区专用停车场,交通设施,停车场,119.156116,40.254271,parking
官场乡头道窝铺村梨花节1号专用停车场,交通设施,停车场,119.179248,40.157531,parking
专用停车场,交通设施,停车场,119.143187,40.280902,parking
地上专用停车场,交通设施,停车场,119.145698,40.283398,parking
洋洋阿布卡小镇·七彩青龙专用停车场,交通设施,停车场,119.144523,40.292833,parking
祖山风景区北门停车场,交通设施,停车场,119.426244,40.167663,parking
祖山风景区北门停车场,交通设施,停车场,119.425636,40.168215,parking
秦皇岛首秦龙汇矿业有限责任公司停车场,交通设施,停车场,119.206495,40.418102000000005,parking
老君顶景区北专用停车场,交通设施,停车场,119.583681,40.158953,parking
老君顶景区游客中心专用停车场,交通设施,停车场,119.583543,40.15654,parking
板城小镇专用停车场,交通设施,停车场,119.56892,40.193734,parking
板厂峪风景区专用停车场,交通设施,停车场,119.571672,40.199093000000005,parking
山海间温泉艺术中心专用停车场,交通设施,停车场,118.822986,40.205976,parking
专用停车场,交通设施,停车场,119.043662,40.467826,parking
专用停车场,交通设施,停车场,119.012666,39.713744,parking
