name,major_category,minor_category,longitude,latitude,poi_family
唐山大觉寺(公交站),交通设施,公交站,118.77319387,39.75826856,transit
唐山上场(公交站),交通设施,公交站,118.91846316,40.11688024,transit
秦皇岛公交总公司(公交站),交通设施,公交站,119.60058927,39.96427188,transit
秦皇岛铝业公司(公交站),交通设施,公交站,119.62188849,39.96667924,transit
秦皇岛海港区老年公寓(公交站),交通设施,公交站,119.62424511,39.9676248,transit
秦皇岛旅游集散中心(公交站),交通设施,公交站,119.62856751,39.96857365,transit
秦皇岛北环路(公交站),交通设施,公交站,119.63249608,39.96929908,transit
秦皇岛东港路北段(公交站),交通设施,公交站,119.63524692,39.9677573,transit
秦皇岛三五四四工厂(公交站),交通设施,公交站,119.63533766,39.96460646,transit
秦皇岛东盐务(公交站),交通设施,公交站,119.63575854,39.9556608,transit
秦皇岛东盛世家(公交站),交通设施,公交站,119.63326491,39.95446029,transit
秦皇岛东环里(公交站),交通设施,公交站,119.62190769,39.95434041,transit
秦皇岛东华里(公交站),交通设施,公交站,119.62001507,39.95432231,transit
秦皇岛秦皇岛开放大学(公交站),交通设施,公交站,119.61795635,39.95430299,transit
秦皇岛第三医院(公交站),交通设施,公交站,119.61485914,39.95179722,transit
秦皇岛西盐务(公交站),交通设施,公交站,119.61513597,39.94707486,transit
秦皇岛临河里(公交站),交通设施,公交站,119.61522879,39.9453763,transit
秦皇岛农乐里(公交站),交通设施,公交站,119.61591036,39.9400847,transit
秦皇岛建国路小学(公交站),交通设施,公交站,119.61511513,39.93585197,transit
秦皇岛第三中学(公交站),交通设施,公交站,119.61201496,39.93488832,transit
秦皇岛秦皇岛商城・金原店(公交站),交通设施,公交站,119.60632444,39.93470742,transit
秦皇岛第二中学(公交站),交通设施,公交站,119.6018175,39.93325789,transit
秦皇岛五道桥市场(公交站),交通设施,公交站,119.5972455,39.93342001,transit
秦皇岛人民公园(公交站),交通设施,公交站,119.594486,39.93487511,transit
秦皇岛第四中学(公交站),交通设施,公交站,119.59069056,39.93540753,transit
秦皇岛红旗西里(公交站),交通设施,公交站,119.58492312,39.93504706,transit
秦皇岛金龙花苑小区(公交站),交通设施,公交站,119.57976689,39.93469654,transit
秦皇岛第四医院北区(公交站),交通设施,公交站,119.57587871,39.93440569,transit
秦皇岛安子寺(公交站),交通设施,公交站,119.57286481,39.93574865,transit
秦皇岛红卫南里(公交站),交通设施,公交站,119.57274657,39.93860191,transit
秦皇岛红卫里(公交站),交通设施,公交站,119.5736284,39.941321,transit
秦皇岛风湿骨病医院(铁庄)(公交站),交通设施,公交站,119.57700708,39.94646288,transit
