data_layer,数据获取方,来源编号,片区,片区名,点位名称,面积原值,原单位,面积_平方米,面积类型,是否为有效浏览面积,来源等级,说明,来源URL,建模可用,口径冲突
L0,用户提供,L0-C21,BDH,北戴河滨海度假区,鸽子窝公园(整合后),3.17,km²,3170000.0,整合景区总面积(2018改造后),⚠️ 部分可用,A_政府或部委,封闭景区1.49km²(陆地0.7+滩涂2.47? 实际陆地0.7km²为硬游览空间;开放景区为5.5km海岸线+金屋浴场至赤土山大桥,http://qhd.gov.cn/front_wmwz_thi.do?uuid=09CE7F5F0C7FF14F80421DEA4DEC8422,部分_需折算,是_同点位多口径
L0,用户提供,L0-C21,BDH,北戴河滨海度假区,鸽子窝公园(原/纪检版),0.43,km²,430000.0,景区面积(纪委廉政教育基地口径),✅ 可直接用,A_政府或部委,"纪委官网口径,鹰角亭-鸟类博物馆-伟人广场等20处景观",https://www.qhdjw.gov.cn/home/details?code=ODIzMTY3NDI3NTYz&id=408328&pcode=MA%CE%B3%CE%B3,是,是_同点位多口径
L0,用户提供,L0-C21,BDH,北戴河滨海度假区,鸽子窝公园(传统口径),300.0,亩,200000.0,原占地面积,⚠️ 旧口径,C_百科或商业站,改造前原公园约300亩;改造后已扩大10倍至3.17km²,http://xn--xmqz81abuiblkxnm47fpx5d.xn--ses554g/,部分_需折算,是_同点位多口径
L0,用户提供,L0-C21,BDH,北戴河滨海度假区,老虎石海上公园,33000.0,㎡,33000.0,占地面积,✅ 可直接用,C_百科或商业站,"国家2A级,百年浴场,岸线+礁石区",https://baike.baidu.com/view/4749012.htm,是,否
L0,用户提供,L0-C21,BDH,北戴河滨海度假区,碧螺塔海上酒吧公园,106.0,亩,70666.7,陆域占地面积,✅ 陆域可直接用,B_官方媒体或平台,海域1.5km²不计入有效面积;海岸线280°环海,https://www.peopleapp.com/rmharticle/30030208712,是,否
L0,用户提供,L0-C21,BDH,北戴河滨海度假区,联峰山公园,6000.0,亩,4000000.2,景区总占地,⚠️ 偏大,C_百科或商业站,"实际游览动线集中在本部登山区,建模建议取核心区",https://www.newton.com.tw/wiki/%E8%81%AF%E5%B3%B0%E5%B1%B1%E5%85%AC%E5%9C%92,部分_需折算,否
L0,用户提供,L0-C21,BDH,北戴河滨海度假区,秦皇岛野生动物园,3500.0,亩,2333333.5,占地面积,⚠️ 散养园区,C_百科或商业站,"注:另有资料称334公顷/5000亩,以3500亩为主流官方口径",https://baike.baidu.com/view/411894.html,部分_需折算,否
L0,用户提供,L0-C21,BDH,北戴河滨海度假区,浅水湾浴场,50000.0,㎡,50000.0,浴场腹地估算,❌ 估算,C_百科或商业站,"东西长约3000m,沙质最细;无官方精确面积,需敏感性分析",https://www.toutiao.com/article/7386961374537810447,否_非游览面积,否
L0,用户提供,L0-C21,BDH,北戴河滨海度假区,浅水湾别墅地块,42909.34,㎡,42909.3,总用地面积,❌ 非游览面积,C_百科或商业站,"此为别墅项目用地,非公共浴场面积",https://www.baike.com/wikiid/5898204439945003174,否_非游览面积,否
L0,用户提供,L0-C21,BDH,北戴河滨海度假区,中海滩景区(浴场群),,—,,20余处海水浴场,❌ 无单点官方面积,C_百科或商业站,"东起七桥南路,西至平水桥,南抵渤海,北达黑石路北;建模建议按岸线×腹地估算",https://www.baike.com/wikiid/1985025563963879047,否_非游览面积,否
