period_start,period_end,region_name,visitor_count_10k_persons,value_qualifier,frequency,geographic_comparability,data_status,source_url,source_note
2017-01-01,2017-12-31,Beidaihe_District,902.0,greater_than,annual,comparable_with_beidaihe_district,verified,https://www.beidaihe.gov.cn/main/file/2022-05-17/16527790611554028828c8091d9952600180d14f0fa36471.pdf,Official Beidaihe District document states that 2017 visitors exceeded 9.02 million; stored value is a lower bound
2018-01-01,2018-12-31,Beidaihe_District,920.43,exact,annual,comparable_with_beidaihe_district,verified,https://www.gcs66.com/document_detail/19028.html,2018 Beidaihe District national economic and social development statistical bulletin
2019-01-01,2019-12-31,Beidaihe_District,,,annual,comparable_with_beidaihe_district,missing,,No directly verifiable annual count was found; do not replace this value with an inference from the 2020 year-on-year change
2019-07-01,2019-07-20,Beidaihe_District,110.08,exact,period_total,comparable_with_beidaihe_district,verified,https://www.ce.cn/xwzx/shgj/gdxw/201907/21/t20190721_32679192.shtml,"July 1–20 2019 visitor total; supplementary observation only, not an annual substitute"
2020-01-01,2020-12-31,Beidaihe_District,450.0,exact,annual,comparable_with_beidaihe_district,verified,https://tjgb.hongheiku.com/xjtjgb/xj2020/21695.html,2020 Beidaihe District national economic and social development statistical bulletin
2021-01-01,2021-12-31,Beidaihe_District,657.0,exact,annual,comparable_with_beidaihe_district,verified,https://tjgb.hongheiku.com/xjtjgb/xj2020/31314.html,2021 Beidaihe District national economic and social development statistical bulletin
2022-01-01,2022-12-31,Beidaihe_District,293.0,exact,annual,comparable_with_beidaihe_district,verified,https://www.beidaihe.gov.cn/single/101/46000.html,2022 Beidaihe District national economic and social development statistical bulletin
2023-01-01,2023-12-31,Beidaihe_District,988.03,exact,annual,comparable_with_beidaihe_district,verified,https://zgrkk.com/reports/6330.html,2023 Beidaihe District national economic and social development statistical bulletin
2024-01-01,2024-12-31,Beidaihe_District,988.33,exact,annual,comparable_with_beidaihe_district,verified,https://zgrkk.com/reports/4149.html,2024 Beidaihe District national economic and social development statistical bulletin
2025-01-01,2025-12-31,Beidaihe_District,1066.93,exact,annual,comparable_with_beidaihe_district,verified,https://tjgb.hongheiku.com/xjtjgb/xj2020/75102.html,2025 Beidaihe District national economic and social development statistical bulletin; visitor-flow caliber
2025-05-01,2025-05-05,Beidaihe_New_District,31.99,exact,holiday_total,not_comparable_with_beidaihe_district,verified,https://he.people.com.cn/BIG5/n2/2025/0507/c192235-41219910.html,2025 May Day holiday total for Beidaihe New District; it must not be merged with Beidaihe District
