period_start,period_end,region_name,facility_or_scope,parameter_name,numeric_value,unit,value_qualifier,frequency,data_status,source_url,source_note
2023-01-01,2023-01-27,Beidaihe_District_Core,Beidaihe_National_Tourism_Resort,accommodation_beds,55000.0,bed_spaces,exact,annual_capacity,verified,https://whly.hebei.gov.cn/c/2023-01-27/570635.html,北戴河度假区现有各类旅游接待设施1100家、房间2.75万间、床位5.5万张。为区域住宿容量，不等于全区酒店统计。
2024-04-04,2024-04-06,Beidaihe_New_District,Hotels_and_accommodation_facilities,occupancy_rate,70.0,percent,greater_than,holiday_average,verified,https://finance.sina.cn/2024-04-07/detail-inaqyhsa8780189.d.html,2024年清明假期北戴河新区酒店出租率三天均达到70%以上。
2024-04-04,2024-04-06,Beidaihe_New_District,Marriott_Suka_Anlan_hotels,occupancy_rate,95.0,percent,approximately,holiday_average,verified,https://finance.sina.cn/2024-04-07/detail-inaqyhsa8780189.d.html,2024年清明假期万豪、苏卡、安澜酒店三天平均出租率达到95%；为样本酒店，不是新区整体。
2025-05-01,2025-05-05,Qinhuangdao_City,45_monitored_accommodation_units,occupancy_rate,68.58,percent,exact,holiday_average,verified,https://www.sohu.com/a/892654637_124742,2025年五一纳入监测的45家住宿单位客房平均出租率68.58%。
2025-05-01,2025-05-05,Beidaihe_New_District,accommodation_facilities,occupancy_rate,90.0,percent,greater_than,holiday_average,verified,https://www.sohu.com/a/892654637_124742,2025年五一北戴河新区住宿设施整体出租率超过90%。
2025-07-01,2025-08-31,Beidaihe_New_District,hotel_and_resort_supply,accommodation_beds,54000.0,bed_spaces,greater_than,as_of_2025,verified,https://he.people.com.cn/n2/2025/0729/c192235-41306590.html,报道表述新区引入国际高端酒店20余家，总床位数突破5.4万张；为新区住宿供给量，不是当日可售房量。
2023-07-01,2025-08-31,Qinhuangdao_City,citywide_daily_occupancy_and_room_inventory,,,missing,daily,missing,https://www.tjnjdata.com/navibooklist-n3025063006-1.html,未找到全市逐日酒店入住率和房间库存公开序列；需要酒店样本PMS或授权平台导出。,
2025-05-01,2025-05-05,Beidaihe_New_District,Aranya_and_high_end_hotels,occupancy_rate,95.0,percent,greater_than,holiday_average,verified,https://he.people.com.cn/n2/2025/0507/c192235-41219910.html,2025年五一阿尔卡迪亚酒店出租率超过95%，万豪酒店超过90%；阿那亚高端酒店整体接近满房。
2023-07-01,2023-08-31,Beidaihe_District,National_Kangbei_Seaview_Health_Center,occupancy_rate,90.0,percent,greater_than,summer_booking_status,verified,https://qhd.hebccw.cn/system/2023/07/14/101179376.shtml,2023年7月报道时该康养中心客房预订已超过九成；报道同时称七月后周末订房接近100%，但未给出全区统一统计值。
2025-05-01,2025-05-05,Beidaihe_New_District,Aranya_high_end_hotels,occupancy_rate,100.0,percent,approximately,holiday_status,partial,https://he.people.com.cn/n2/2025/0507/c192235-41219910.html,报道表述阿那亚社区高端酒店假期期间几乎满房；因不是精确统计值，标为partial并使用约100%的分析锚点。
