period_start,period_end,region_name,facility_or_scope,visitor_count_10k_persons,metric_scope,frequency,geographic_comparability,data_status,source_url,source_note
2023-05-01,2023-05-01,Shanhaiguan_District,scenic_areas,13.97,district_scenic_area_visitors,daily_peak,comparable_with_Shanhaiguan_District_scenic_rows,verified,https://qhd.hebccw.cn/system/2023/05/06/101145263.shtml,"Labour Day single-day peak; scenic-area visitors, not all district visitors."
2023-05-01,2023-05-01,Beidaihe_District,scenic_areas,12.86,district_scenic_area_visitors,daily_peak,comparable_with_Beidaihe_District_scenic_rows,verified,https://qhd.hebccw.cn/system/2023/05/06/101145263.shtml,"Labour Day single-day peak; scenic-area visitors, not all district visitors."
2023-06-22,2023-06-24,Qinhuangdao_City,all_visitors,199.43,citywide_tourist_visitors,holiday_total,citywide_not_board_level,verified,https://hebei.ifeng.com/c/8QuMkycYdNb,Dragon Boat Festival three-day holiday; citywide visitors and 19.54 hundred-million CNY tourism revenue.
2023-07-01,2023-07-31,Qinhuangdao_City,all_visitors,1244.19,citywide_tourist_visitors,monthly_total,citywide_not_board_level,verified,https://www.news.cn/photo/2023-08/02/c_1129783074.htm,July 2023 summer peak; citywide visitors and 156.13 hundred-million CNY tourism revenue.
2023-07-01,2023-07-31,Beidaihe_District,all_visitors,453.41,district_tourist_visitors,monthly_total,not_directly_comparable_with_scenic_gate_entries,verified,https://m.thepaper.cn/newsDetail_forward_24265866,July 2023 summer peak; district visitors and 56.90 hundred-million CNY tourism revenue.
2023-09-29,2023-10-06,Qinhuangdao_City,all_visitors,433.9,citywide_tourist_visitors,holiday_total,citywide_not_board_level,verified,https://www.ccmapp.cn/news/detail?categoryid=&categoryname=%E6%9C%AC%E7%BD%91%E5%8E%9F%E5%88%9B&id=ecd6cfd7-b294-46d1-b559-82861ff3790c,Mid-Autumn and National Day eight-day holiday; citywide visitors and 49.77 hundred-million CNY tourism revenue.
2024-04-04,2024-04-06,Qinhuangdao_City,all_scenic_areas,70.01,citywide_scenic_area_visitors,holiday_total,citywide_not_board_level,verified,https://finance.sina.cn/2024-04-07/detail-inaqyhsa8780189.d.html,Qingming three-day holiday; citywide scenic-area visitors and 6.01 hundred-million CNY tourism revenue.
2024-05-01,2024-05-05,Qinhuangdao_City,all_scenic_areas,141.46,citywide_scenic_area_visitors,holiday_total,citywide_not_board_level,verified,https://hebei.ifeng.com/c/8ZO14QVDnhM,"Labour Day five-day holiday; scenic-area visitors and 43.4111 million CNY ticket income, not full all-tourist citywide flow."
2024-06-08,2024-06-10,Qinhuangdao_City,all_visitors,208.8,citywide_tourist_visitors,holiday_total,citywide_not_board_level,verified,https://web.cmc.hebtv.com/cms/rmt0336_html/19/19js/zx/tt/11517102.shtml,Dragon Boat Festival three-day holiday; citywide visitors and 19.96 hundred-million CNY tourist spending.
2024-01-01,2024-12-31,Beidaihe_New_District,all_visitors,1174.0,new_district_tourist_visitors,annual,not_comparable_with_Beidaihe_District_core,verified,https://he.people.com.cn/n2/2025/0729/c192235-41306590.html,2024 annual Beidaihe New District visitors; added because the source reports a district-level tourism total distinct from Beidaihe District core.
