path,size_bytes,suffix
data\raw\.gitkeep,1,
data\raw\1799 全国景点周边路网拥堵指数与客流指数（2021-2025）\全国景点周边路网拥堵指数与客流指数（2021-2025）(1).xlsx,12206379,.xlsx
data\raw\1799 全国景点周边路网拥堵指数与客流指数（2021-2025）\全国景点周边路网拥堵指数与客流指数（2021-2025）.xlsx,12206379,.xlsx
data\raw\1799 全国景点周边路网拥堵指数与客流指数（2021-2025）\数据说明——全国景点周边路网拥堵指数与客流指数（2021-2025）(1).docx,119352,.docx
data\raw\1799 全国景点周边路网拥堵指数与客流指数（2021-2025）\数据说明——全国景点周边路网拥堵指数与客流指数（2021-2025）.docx,119352,.docx
data\raw\2024年全国停车场poi数据\2024年全国停车场poi数据_part1.xlsx,66683299,.xlsx
data\raw\2024年全国停车场poi数据\2024年全国停车场poi数据_part2.xlsx,12292080,.xlsx
data\raw\aranya_beidaihe_new_district_summer_flow_anchors_2023_2025.csv,2421,.csv
data\raw\battery_a\B0005.mat,15956874,.mat
data\raw\battery_a\B0006.mat,16028159,.mat
data\raw\battery_a\B0007.mat,16049460,.mat
data\raw\battery_a\B0018.mat,8502218,.mat
data\raw\battery_a\parameter_evidence.csv,4451,.csv
data\raw\battery_a\README.md,1718,.md
data\raw\beidaihe_tourism_anchors_revised.csv,2927,.csv
data\raw\haigang_aranya_tourism_anchors.csv,1668,.csv
data\raw\L0_B5c_网络热度_百度指数_17关键词_日_2016_2026_用户提供.csv,3959009,.csv
data\raw\L0_C20_人均空间承载标准_国标附录A_用户提供.csv,4446,.csv
data\raw\L0_C21_景区点位面积_公开来源_用户提供.csv,12931,.csv
data\raw\L0_C21c_片区有效面积汇总_S1口径_用户提供.csv,1160,.csv
data\raw\L0_C22_景区线上预约比例_行业报告_用户提供.csv,1071,.csv
data\raw\online_heat_collection_plan_2023_2025.csv,1053,.csv
data\raw\public_holiday_periods_2023_2025.csv,2368,.csv
data\raw\q3_resource_constraints_researched.csv,7775,.csv
