period_start,period_end,region_name,facility_or_scope,visitor_count_10k_persons,value_qualifier,frequency,metric_scope,geographic_comparability,data_status,source_url,source_note,source_dataset,tourism_value_100m_cny,tourism_value_metric,tourism_income_100m_cny,region_code,period_days,anchor_use,visitor_total
2023-07-01,2023-08-31,Beidaihe_District,all_tourism_area,100.0,approximately,daily_average,district_tourism_peak_season,not_comparable_with_Beidaihe_New_District_or_Aranya,verified,https://he.xinhuanet.com/20230802/8e441819855d40e59be95bd57cc9fe5f/c.html,报道表述为2023年旅游旺季北戴河区日均接待游客近10万人次；这是北戴河区口径，不是北戴河新区或阿那亚口径。,aranya_beidaihe_new_district_summer_flow_anchors_2023_2025.csv,,,,BDH,62,point_calibration,62000000.0
2023-08-09,2023-08-09,Beidaihe_New_District,Yutian_Qilihai_Resort,0.8,approximately,daily_average,facility_entrance_visitors,not_comparable_with_Aranya_or_new_district_total,verified,https://finance.sina.cn/2023-08-12/detail-imzfwwfc4978574.d.html,景区负责人介绍当时日均入园游客约8000人次；周六日约12000人次，属于渔田七里海单点客流。,aranya_beidaihe_new_district_summer_flow_anchors_2023_2025.csv,,,,BND,1,point_calibration,8000.0
2023-08-09,2023-08-09,Beidaihe_New_District,Yutian_Qilihai_Resort,1.2,approximately,weekend_daily_peak,facility_entrance_visitors,not_comparable_with_Aranya_or_new_district_total,verified,https://finance.sina.cn/2023-08-12/detail-imzfwwfc4978574.d.html,景区负责人介绍周六日单日入园游客约12000人次；不是整个新区客流。,aranya_beidaihe_new_district_summer_flow_anchors_2023_2025.csv,,,,BND,1,point_calibration,12000.0
2024-01-01,2024-12-31,Beidaihe_New_District,Aranya,330.0,approximately,annual,community_visitor_count,not_comparable_with_new_district_total,verified,https://he.people.com.cn/n2/2025/0516/c192235-41229626.html,报道给出2024年阿那亚接待游客约330万人次；这是年度值，不可直接拆分为暑期日级客流。,aranya_beidaihe_new_district_summer_flow_anchors_2023_2025.csv,,,,BND,366,point_calibration,3300000.0
2025-07-01,2025-08-31,Beidaihe_New_District,all_tourism_area,5.0,approximately,daily_average,visitors_in_new_district,not_comparable_with_Aranya_only,verified,https://he.people.com.cn/n2/2025/0729/c192235-41306590.html,报道表述为夏季旅游高峰期北戴河新区平均每日在区游客近5万人次；为新区总量锚点。,aranya_beidaihe_new_district_summer_flow_anchors_2023_2025.csv,,,,BND,62,point_calibration,3100000.0
2025-07-01,2025-08-31,Beidaihe_New_District,Aranya_Yutian_Qilihai_Yudao_three_hotspots,4.0,greater_than,weekend_daily_peak,three_hotspot_visitors,not_comparable_with_new_district_total_or_Aranya_only,verified,https://he.people.com.cn/n2/2025/0729/c192235-41306590.html,报道表述为阿那亚、渔田七里海度假区和渔岛三个热门片区双休日单日吸引游客4万余人次；三片区合计，不是阿那亚单独值。,aranya_beidaihe_new_district_summer_flow_anchors_2023_2025.csv,,,,BND,62,lower_bound_only,40000.0
2017-01-01,2017-12-31,Beidaihe_District,,902.0,greater_than,annual,,comparable_with_beidaihe_district,verified,https://www.beidaihe.gov.cn/main/file/2022-05-17/16527790611554028828c8091d9952600180d14f0fa36471.pdf,Official Beidaihe District document states that 2017 visitors exceeded 9.02 million; stored value is a lower bound,beidaihe_tourism_anchors_revised.csv,,,,BDH,365,lower_bound_only,9020000.0
2018-01-01,2018-12-31,Beidaihe_District,,920.43,exact,annual,,comparable_with_beidaihe_district,verified,https://www.gcs66.com/document_detail/19028.html,2018 Beidaihe District national economic and social development statistical bulletin,beidaihe_tourism_anchors_revised.csv,,,,BDH,365,point_calibration,9204300.0
2019-07-01,2019-07-20,Beidaihe_District,,110.08,exact,period_total,,comparable_with_beidaihe_district,verified,https://www.ce.cn/xwzx/shgj/gdxw/201907/21/t20190721_32679192.shtml,"July 1–20 2019 visitor total; supplementary observation only, not an annual substitute",beidaihe_tourism_anchors_revised.csv,,,,BDH,20,point_calibration,1100800.0
2020-01-01,2020-12-31,Beidaihe_District,,450.0,exact,annual,,comparable_with_beidaihe_district,verified,https://tjgb.hongheiku.com/xjtjgb/xj2020/21695.html,2020 Beidaihe District national economic and social development statistical bulletin,beidaihe_tourism_anchors_revised.csv,,,,BDH,366,point_calibration,4500000.0
2021-01-01,2021-12-31,Beidaihe_District,,657.0,exact,annual,,comparable_with_beidaihe_district,verified,https://tjgb.hongheiku.com/xjtjgb/xj2020/31314.html,2021 Beidaihe District national economic and social development statistical bulletin,beidaihe_tourism_anchors_revised.csv,,,,BDH,365,point_calibration,6570000.0
2022-01-01,2022-12-31,Beidaihe_District,,293.0,exact,annual,,comparable_with_beidaihe_district,verified,https://www.beidaihe.gov.cn/single/101/46000.html,2022 Beidaihe District national economic and social development statistical bulletin,beidaihe_tourism_anchors_revised.csv,,,,BDH,365,point_calibration,2930000.0
2023-01-01,2023-12-31,Beidaihe_District,,988.03,exact,annual,,comparable_with_beidaihe_district,verified,https://zgrkk.com/reports/6330.html,2023 Beidaihe District national economic and social development statistical bulletin,beidaihe_tourism_anchors_revised.csv,,,,BDH,365,point_calibration,9880300.0
