parameter_group,parameter,estimate_standardized
covariate,intercept,0.3334776671985464
covariate,is_holiday,0.09518531541581117
covariate,is_weekend,0.09378214314294576
covariate,temperature,0.02398770248656656
covariate,precipitation,-0.043631484837562476
covariate,search_attraction_lag1,0.012665598684519677
covariate,search_coastal_lag1,-0.03875410269931492
covariate,search_destination_lag1,0.24380153512415462
region_effect,BDH,0.0
region_effect,HGA,0.6939112042018909
region_effect,SHG,-0.21564706525196434
dispersion,BDH,0.38872123786471624
dispersion,HGA,0.09649537645088412
dispersion,SHG,0.22844615445675437
dynamic,rho_adjacent_sample,0.5235730450069505
