date,region_code,density_count,left_censored_count,censor_rate,censor_threshold_index,log_index_mean,log_index_std,density_log_likelihood,censor_log_likelihood,total_log_likelihood,uncertainty_flag
2021-12-22,BDH,0,8,1.0,,,,,,,no_density_observation
2021-12-22,HGA,0,3,1.0,,,,,,,no_density_observation
2021-12-22,SHG,1,5,0.8333333333333334,0.1,0.09531017980432487,0.25,0.46735582791521796,-3.4657359027997265,-2.9983800748845084,small_observed_sample
2021-12-22,其他_昌黎,0,1,1.0,,,,,,,no_density_observation
2021-12-26,BDH,0,8,1.0,,,,,,,no_density_observation
2021-12-26,HGA,0,3,1.0,,,,,,,no_density_observation
2021-12-26,SHG,1,5,0.8333333333333334,0.11,0.10436001532424277,0.25,0.46735582791521796,-3.4657359027997265,-2.9983800748845084,small_observed_sample
2021-12-26,其他_昌黎,0,1,1.0,,,,,,,no_density_observation
2021-12-29,BDH,0,8,1.0,,,,,,,no_density_observation
2021-12-29,HGA,0,3,1.0,,,,,,,no_density_observation
2021-12-29,SHG,3,3,0.5,0.1,0.17247857626853216,0.25,1.330345687537164,-2.912360190332494,-1.5820145027953298,estimated_log_std
2021-12-29,其他_昌黎,0,1,1.0,,,,,,,no_density_observation
2021-12-30,BDH,0,8,1.0,,,,,,,no_density_observation
2021-12-30,HGA,0,3,1.0,,,,,,,no_density_observation
2021-12-30,SHG,1,5,0.8333333333333334,0.1,0.09531017980432487,0.25,0.46735582791521796,-3.4657359027997265,-2.9983800748845084,small_observed_sample
2021-12-30,其他_昌黎,0,1,1.0,,,,,,,no_density_observation
2022-01-09,BDH,1,7,0.875,0.24,0.2151113796169455,0.25,0.46735582791521796,-4.852030263919617,-4.384674436004399,small_observed_sample
2022-01-09,HGA,0,3,1.0,,,,,,,no_density_observation
2022-01-09,SHG,0,6,1.0,,,,,,,no_density_observation
2022-01-09,其他_昌黎,0,1,1.0,,,,,,,no_density_observation
2022-01-14,BDH,0,8,1.0,,,,,,,no_density_observation
2022-01-14,HGA,0,3,1.0,,,,,,,no_density_observation
2022-01-14,SHG,1,5,0.8333333333333334,0.11,0.10436001532424277,0.25,0.46735582791521796,-3.4657359027997265,-2.9983800748845084,small_observed_sample
2022-01-14,其他_昌黎,0,1,1.0,,,,,,,no_density_observation
2022-01-15,BDH,0,8,1.0,,,,,,,no_density_observation
2022-01-15,HGA,1,2,0.6666666666666666,6.88,2.064327903869788,0.25,0.46735582791521796,-1.3862943611198906,-0.9189385332046727,small_observed_sample
2022-01-15,SHG,3,3,0.5,0.11,0.15073200353192362,0.25,1.375133231357251,-2.5569692471108922,-1.1818360157536412,estimated_log_std
2022-01-15,其他_昌黎,0,1,1.0,,,,,,,no_density_observation
2022-01-22,BDH,0,8,1.0,,,,,,,no_density_observation
2022-01-22,HGA,0,3,1.0,,,,,,,no_density_observation
2022-01-22,SHG,3,3,0.5,0.1,0.1273305839741741,0.25,1.3654518005539136,-2.4019152805721085,-1.0364634800181949,estimated_log_std
2022-01-22,其他_昌黎,0,1,1.0,,,,,,,no_density_observation
2022-01-31,BDH,1,7,0.875,0.26,0.23111172096338664,0.25,0.46735582791521796,-4.852030263919617,-4.384674436004399,small_observed_sample
2022-01-31,HGA,0,3,1.0,,,,,,,no_density_observation
2022-01-31,SHG,0,6,1.0,,,,,,,no_density_observation
2022-01-31,其他_昌黎,0,1,1.0,,,,,,,no_density_observation
2022-02-10,BDH,0,8,1.0,,,,,,,no_density_observation
2022-02-10,HGA,0,3,1.0,,,,,,,no_density_observation
2022-02-10,SHG,1,5,0.8333333333333334,0.1,0.09531017980432487,0.25,0.46735582791521796,-3.4657359027997265,-2.9983800748845084,small_observed_sample
2022-02-10,其他_昌黎,0,1,1.0,,,,,,,no_density_observation
2022-02-11,BDH,0,8,1.0,,,,,,,no_density_observation
2022-02-11,HGA,1,2,0.6666666666666666,6.65,2.0347056478384444,0.25,0.46735582791521796,-1.3862943611198906,-0.9189385332046727,small_observed_sample
