name,major_category,minor_category,longitude,latitude,poi_family
雄狮观海广场,旅游景点,广场,119.358284,39.732623,attraction
新南戴河国际娱乐中心-和声,旅游景点,其他,119.355057,39.733241,attraction
新南戴河国际娱乐中心-槐花湖景区,旅游景点,其他,119.356712,39.733857,attraction
金龙山索道站,旅游景点,其他,119.355383,39.729329,attraction
翡翠岛国家级自然环境保护区,旅游景点,其他,119.252401,39.549876,attraction
长寿山地质地貌景观区-玄阳洞,旅游景点,其他,119.758829,40.064829,attraction
江北大营度假,旅游景点,其他,119.744821,40.11938,attraction
御鹿谷,旅游景点,其他,119.735218,40.14721,attraction
白塔寺庙,旅游景点,宗教,119.670533,40.095909,attraction
柳江盆地地质遗迹国家级自然环境保护区,旅游景点,其他,119.662631,40.137728,attraction
五佛山国际生态休闲度假区,旅游景点,其他,119.751408,40.067299000000006,attraction
一线天,旅游景点,其他,119.734779,40.059686,attraction
世外桃源,旅游景点,其他,119.739333,40.061764,attraction
长寿河,旅游景点,其他,119.737436,40.059236,attraction
百二山河,旅游景点,其他,119.739255,40.06151,attraction
药王岭,旅游景点,其他,119.749996,40.06746,attraction
朝阳寺庙,旅游景点,宗教,119.663504,40.056756,attraction
点将台,旅游景点,其他,119.741568,40.120968000000005,attraction
秦皇岛法藏寺庙,旅游景点,宗教,119.745773,40.128082,attraction
龙王寺庙,旅游景点,宗教,119.709949,40.114655,attraction
万寿山景区,旅游景点,其他,119.750831,40.070278,attraction
祖山风景区,旅游景点,其他,119.458959,40.142464,attraction
秦皇秘境,旅游景点,其他,119.526597,40.152792,attraction
秦皇岛天门山,旅游景点,其他,119.501347,40.099953,attraction
莲花古寺,旅游景点,宗教,119.507909,40.098427,attraction
百步楼,旅游景点,其他,119.468859,40.064024,attraction
河北秦皇岛柳江国家地质生态公园-五峰寺,旅游景点,宗教,119.48573,40.074627,attraction
祖山呐喊喷泉,旅游景点,其他,119.502591,40.124681,attraction
祖山景区-小火车侯乘处,旅游景点,其他,119.528969,40.114161,attraction
萌宠乐园,旅游景点,其他,119.50335,40.125951,attraction
长城体验区,旅游景点,其他,119.503435,40.126202,attraction
祖山景区520打卡点,旅游景点,其他,119.454947,40.134717,attraction
濠水观鱼,旅游景点,其他,119.455636,40.134719,attraction
五潭映月,旅游景点,其他,119.456363,40.134558,attraction
老君炼丹,旅游景点,其他,119.458284,40.134183,attraction
背牛顶景区,旅游景点,其他,119.400116,40.087719,attraction
环县古城墙,旅游景点,其他,119.43158,40.146216,attraction
望仙亭,旅游景点,其他,119.427318,40.1227,attraction
北天门,旅游景点,其他,119.428965,40.135719,attraction
济心寺景区,旅游景点,其他,119.43158,40.146146,attraction
玉皇笔架,旅游景点,其他,119.435076,40.14392,attraction
响山奇乐,旅游景点,其他,119.43137,40.121766,attraction
辽代平安锣,旅游景点,其他,119.42524,40.12311,attraction
寿星峰,旅游景点,其他,119.427127,40.135552,attraction
禅堂庙鼎,旅游景点,其他,119.450982,40.135316,attraction
鹊桥相会,旅游景点,其他,119.441595,40.139016,attraction
老子出关,旅游景点,其他,119.445409,40.136821000000005,attraction
杨戬长叹,旅游景点,其他,119.438145,40.14062,attraction
天女峰景区,旅游景点,其他,119.431477,40.121581,attraction
童戏驼峰,旅游景点,其他,119.438974,40.140232000000005,attraction
佛光亭,旅游景点,其他,119.429317,40.122273,attraction
万怿亭,旅游景点,其他,119.451665,40.135413,attraction
镇海狮吼,旅游景点,其他,119.433823,40.144972,attraction
仙女云床,旅游景点,其他,119.43118,40.147557,attraction
吉祥钟,旅游景点,其他,119.431896,40.146029,attraction
柳亭闻莺,旅游景点,其他,119.440561,40.139103,attraction
