year,holiday_name,period_start,period_end,total_days,source_url,data_status
2023,New_Year,2022-12-31,2023-01-02,3,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,verified
2023,Spring_Festival,2023-01-21,2023-01-27,7,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,verified
2023,Qingming_Festival,2023-04-05,2023-04-05,1,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,verified
2023,Labor_Day,2023-04-29,2023-05-03,5,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,verified
2023,Dragon_Boat_Festival,2023-06-22,2023-06-24,3,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,verified
2023,Mid_Autumn_and_National_Day,2023-09-29,2023-10-06,8,https://app.www.gov.cn/govdata/gov/202212/08/495070/article.html,verified
2024,New_Year,2023-12-30,2024-01-01,3,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,verified
2024,Spring_Festival,2024-02-10,2024-02-17,8,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,verified
2024,Qingming_Festival,2024-04-04,2024-04-06,3,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,verified
2024,Labor_Day,2024-05-01,2024-05-05,5,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,verified
2024,Dragon_Boat_Festival,2024-06-08,2024-06-10,3,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,verified
2024,Mid_Autumn_Festival,2024-09-15,2024-09-17,3,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,verified
2024,National_Day,2024-10-01,2024-10-07,7,https://app.www.gov.cn/govdata/gov/202310/25/508678/article.html,verified
2025,New_Year,2025-01-01,2025-01-01,1,https://www.gov.cn/gongbao/2024/issue_11726/material/gwygb202433.pdf,verified
2025,Spring_Festival,2025-01-28,2025-02-04,8,https://www.gov.cn/gongbao/2024/issue_11726/material/gwygb202433.pdf,verified
2025,Qingming_Festival,2025-04-04,2025-04-06,3,https://www.gov.cn/gongbao/2024/issue_11726/material/gwygb202433.pdf,verified
2025,Labor_Day,2025-05-01,2025-05-05,5,https://www.gov.cn/gongbao/2024/issue_11726/material/gwygb202433.pdf,verified
2025,Dragon_Boat_Festival,2025-05-31,2025-06-02,3,https://www.gov.cn/gongbao/2024/issue_11726/material/gwygb202433.pdf,verified
2025,National_Day_and_Mid_Autumn,2025-10-01,2025-10-08,8,https://www.gov.cn/gongbao/2024/issue_11726/material/gwygb202433.pdf,verified
