region_name,resource_category,facility_or_scope,parameter_name,numeric_value,unit,period_or_as_of,constraint_role,data_status,source_url,source_note
Qinhuangdao_City,transport_fleet,citywide_public_transport,operating_public_bus_vehicles,1316.0,vehicles,2024-12-31,upper_bound_for_external_bus_redeployment,verified,https://www.zgrkk.com/reports/223.html,"Citywide operating fleet, not vehicles dedicated to tourist boards; allocation model must apply a dispatchable-share parameter rather than use 1,316 directly."
Qinhuangdao_City,transport_fleet,citywide_taxi_service,operating_cruising_taxis,4397.0,vehicles,2024-12-31,external_last_mile_supply_proxy,verified,https://www.zgrkk.com/reports/223.html,"Citywide fleet, not a controllable scenic-board resource."
Beidaihe_District,public_transport,Beidaihe_tourism_bus_line_2,daytime_headway,15.0,minutes,2024-07-05_to_2024-08-25,scheduled_shuttle_frequency,verified,https://he.people.com.cn/n2/2024/0705/c192235-40902683.html,Daily daytime service 07:30-19:30; route connects key tourist sites and Pigeon Nest parking. Vehicle count and vehicle seating are not published.
Beidaihe_District,public_transport,Beidaihe_tourism_bus_line_2,evening_headway,30.0,minutes,2024-07-05_to_2024-08-25,scheduled_shuttle_frequency,verified,https://he.people.com.cn/n2/2024/0705/c192235-40902683.html,Evening service 19:30-21:30; vehicle count and vehicle seating are not published.
Beidaihe_District,public_transport,Beidaihe_tourism_bus_line_2,operating_days,52.0,days,2024-07-05_to_2024-08-25,seasonal_service_window,verified,https://he.people.com.cn/n2/2024/0705/c192235-40902683.html,Calendar-day count for the published operating window; includes both endpoints.
Beidaihe_District,public_transport,Beidaihe_tourism_bus_line_2,fare,2.0,CNY_per_boarding,2024-07-05_to_2024-08-25,passenger_cost_and_revenue_parameter,verified,https://he.people.com.cn/n2/2024/0705/c192235-40902683.html,Published single-ride fare; it is not the operating cost per vehicle-km.
Beidaihe_District,accommodation,Beidaihe_Tourist_Resort,tourism_accommodation_facilities,1100.0,facilities,2023-01-30,overnight_service_supply,reported_by_destination_operator,https://www.thepaper.cn/newsDetail_forward_21730576,"Destination profile supplied by the resort; capacity is for the 16.2 km2 Beidaihe Tourist Resort, not all Beidaihe District."
Beidaihe_District,accommodation,Beidaihe_Tourist_Resort,guest_rooms,27500.0,rooms,2023-01-30,overnight_service_supply,reported_by_destination_operator,https://www.thepaper.cn/newsDetail_forward_21730576,Approximate room total.
Beidaihe_District,accommodation,Beidaihe_Tourist_Resort,beds,55000.0,beds,2023-01-30,overnight_service_supply,reported_by_destination_operator,https://www.thepaper.cn/newsDetail_forward_21730576,Approximate bed total; use only for overnight-capacity scenario bounds.
Beidaihe_New_District,parking,Yutian_Town_Parking_Lot,parking_spaces,1272.0,spaces,2025-02-18,parking_capacity_anchor,verified,https://ggzyfw.beijing.gov.cn/xtgghbzbgg/20250218/4975948.html,Tendered facility in Beidaihe New District; it is not the Beidaihe District coastal-resort total.
Shanhaiguan_District,parking,Shanhaiguan_Expressway_Service_Area,parking_spaces,791.0,spaces,2024-06-18,inbound_self_drive_buffer_capacity,verified,https://www.hbgs.com.cn/c/2024-06-18/1192489.html,Highway service area about 1 km from ancient city; not scenic-area total parking capacity.
Shanhaiguan_District,parking,ancient_city_access,identified_public_parking_lots,5.0,lots,2024-11-07,parking_network_structure,reported_by_tourism_committee,https://www.sohu.com/a/824501595_121106842,"North Gate, West Gate, Jingbian Tower, scenic-area, and Shanhaiguan parking lots are named; individual space counts are not published in the source."
Nandaihe_Beach,visitor_capacity,Nandaihe_Beach,planned_daily_extreme_visitor_capacity,18000.0,persons_per_day,planning_document_2011_2030,visitor_capacity_reference,planning_document,https://www.chinafuning.gov.cn/main/file/2026-01-14/1768374198196297ec9de9bb81016494019bbb50dfb455b7.pdf,"Planning-design reference, not observed flow and not a direct substitute for Beidaihe District core capacity."
Nandaihe_Beach,staffing,Nandaihe_Beach,planned_visitor_to_service_staff_ratio,18.5,visitors_per_staff,planning_document_2011_2030,staffing_conversion_reference,planning_document,https://www.chinafuning.gov.cn/main/file/2026-01-14/1768374198196297ec9de9bb81016494019bbb50dfb455b7.pdf,Planning reference. Combine with a chosen service standard only in scenario analysis; do not present it as observed staffing.
Beidaihe_Scenic_Area,visitor_services,planning_area,planned_flush_toilets,16.0,facilities,planning_document_2011_2030,visitor_service_facility_reference,planning_document,https://www.chinafuning.gov.cn/main/file/2026-01-14/1768374198196297ec9de9bb81016494019bbb50dfb455b7.pdf,"Planning-document quantity, not a verified 2023-2025 operating count."
Aranya,parking,Aranya_Northshore_external_lot,reported_external_parking_capacity,1500.0,vehicles,2020,legacy_peak_parking_reference,reported_by_operator,https://www.quanjinglian.com/h-nd-3436.html,"Operator interview describes a proposed/rented nearby lot for summer peak. It is historical and not verified as active in 2023-2025, so it is not a current capacity input."
Aranya,internal_shuttle,Aranya_community,shuttle_service_availability,,,current_service_description,service_design_presence,reported_by_operator,https://www.aranyatheaterfestival.com/en/travel,"Guest transfer/shuttle service is described, but fleet size, seats, headway and service span are not publicly disclosed."
Beidaihe_District,parking,core_tourism_board,total_spaces_and_hourly_occupancy,,,2023-2025,parking_capacity_and_queue_constraint,missing,https://www.beidaihe.gov.cn/,"Required raw fields: lot-level spaces, entry/exit timestamps, occupied spaces, turnover and overflow."
Beidaihe_District,staffing,core_tourism_board,service_staff_by_shift_and_unit_cost,,,2023-2025,staffing_and_operating_cost_constraint,missing,https://www.beidaihe.gov.cn/,"Required raw fields: ticketing, cleaning, security, dispatch, rescue and visitor-service staff by shift; wage and overtime cost."
Shanhaiguan_District,parking,core_tourism_board,total_spaces_and_hourly_occupancy,,,2023-2025,parking_capacity_and_queue_constraint,missing,https://shg.qhdcaw.gov.cn/,Named lots are public but capacity and occupancy time series are not.
