data_layer,数据获取方,来源编号,指标,year,数值,单位,数据来源,原始数列名,source_label,visitor_count_10k_persons,tourism_value_100m_cny,visitor_scope,tourism_value_metric,frequency,data_status,source_url,source_note,period_start,period_end,region_name,facility_or_scope,metric_scope,geographic_comparability,value_qualifier,tourism_income_100m_cny
,,,,,,,,,,580.0,,,,cumulative_to_date,verified,https://qhd.hebccw.cn/system/2023/07/14/101179376.shtml,截至报道时北戴河各景区接待游客已超过580万人次；不是完整7—8月连续序列。,2023-07-01,2023-07-14,Beidaihe_District,,scenic_area_visitors,not_comparable_with_citywide_or_new_district_total,greater_than,
,,,,,,,,,,141.46,,,,holiday_total,verified,https://www.sohu.com/a/776718109_232715,2024年五一期间全市景区接待游客141.46万人次；非暑期，但可作为节假日客流校验锚点。,2024-05-01,2024-05-05,Qinhuangdao_City,,scenic_area_visitors,citywide_scenic_scope,exact,
,,,,,,,,,,70.0,,,,holiday_total,verified,https://www.sohu.com/a/776718109_232715,2024年五一期间以阿那亚、阿卡度假区等为代表的北戴河新区接待游客突破70万人次。,2024-05-01,2024-05-05,Beidaihe_New_District,,regional_tourist_visitors,not_comparable_with_citywide_scenic_scope,greater_than,
,,,,,,,,,,436.95,,,,holiday_total,verified,https://www.rmlt.com.cn/2024/1008/713817.shtml,2024年国庆假期全市接待游客436.95万人次；非暑期，用于季节性模型外部校验。,2024-10-01,2024-10-07,Qinhuangdao_City,,citywide_tourist_visitors,citywide_not_board_level,exact,
,,,,,,,,,,31.99,,,,holiday_total,verified,https://he.people.com.cn/n2/2025/0507/c192235-41219910.html,2025年五一北戴河新区游客接待量31.99万人次；非暑期。,2025-05-01,2025-05-05,Beidaihe_New_District,,regional_tourist_visitors,not_comparable_with_citywide_total,exact,
,,,,,,,,,,5.0,,,,daily_average,verified,https://he.people.com.cn/n2/2025/0729/c192235-41306590.html,2025年夏季旅游高峰期新区平均每日在区游客近5万人次；不是逐日观测。,2025-07-01,2025-08-31,Beidaihe_New_District,,visitors_in_new_district,not_comparable_with_Aranya_only,approximately,
,,,,,,,,,,188.26,,,,holiday_total,verified,https://whly.hebei.gov.cn/c/2025-05-14/580826.html,2025年五一全市景区接待游客188.26万人次；与全市旅游接待量不是同一统计口径。,2025-05-01,2025-05-05,Qinhuangdao_City,,scenic_area_visitors,citywide_scenic_scope,exact,
,,,,,,,,,,437.17,,,,holiday_total,verified,https://qhd.hebccw.cn/system/2023/05/06/101145263.shtml,2023年五一全市接待游客437.17万人次；作为报道锚点，不属于7—8月连续序列。,2023-04-29,2023-05-03,Qinhuangdao_City,,citywide_tourist_visitors,citywide_not_board_level,exact,
,,,,,,,,,,51.26,,,,holiday_total,verified,https://www.visitbeijing.com.cn/article/4OGfwafFTKt?device=amp,报道统计今年五一和端午期间新区景区（度假区）接待游客51.26万人次；来源将两个假期合并，不能拆分为单一假期。,2025-04-04,2025-04-06,Beidaihe_New_District,,scenic_and_resort_visitors,not_comparable_with_citywide_total,exact,
,,,,,,,,,,3.0,,,,daily_peak,verified,https://www.visitbeijing.com.cn/article/4OGfwafFTKt?device=amp,报道给出阿那亚单日峰值客流超过3万人次；为峰值，不是日均。,2025-05-01,2025-05-01,Beidaihe_New_District,,Aranya_visitors,not_comparable_with_new_district_total,greater_than,
