year,road_passenger_10k_persons,civil_aviation_passenger_10k_persons,public_bus_passenger_10k_persons,bus_operating_vehicles,taxi_operating_vehicles,civil_vehicle_10k,nev_vehicle_10k,domestic_airport_destinations,road_length_km,expressway_length_km,pm25_ug_m3,good_air_days_pct,frequency,data_status,source_url,source_note
2016,1422.0,23.12,11595.0,1494.0,4958.0,,,,,,,76.8,annual,partial,https://web.xiaze.org/tjgb/201705/25522-2.html,2016秦皇岛市统计公报已核验：道路客运量、民航客运量、公交车辆、公交客运量、出租车、优良天数比例；公报未给出本表其余字段，留空。
2017,1442.0,32.85,11898.0,1576.0,4660.0,,,,,,,,annual,partial,https://web.xiaze.org/tjgb/201804/42618-2.html,2017秦皇岛市统计公报已核验：道路客运量、民航客运量、公交车辆、公交客运量、出租车；公报未给出本表其余字段，留空。公报中的私人汽车数不冒充民用汽车总量。
2018,,,,,,,,,,,,,annual,missing,,未定位到可直接核验的秦皇岛市2018年统计公报对应字段；不使用二手机场吞吐量或推算值。
2019,1625.0,50.65,12582.0,1752.0,4660.0,71.2,,,,,,,annual,partial,https://www.gcs66.com/document_detail/1897.html,2019秦皇岛市统计公报转载文本已核验：道路客运量、民航客运量、公交车辆、公交客运量、出租车、民用汽车；其余字段未在所引文本中明确，留空。
2020,249.28,,5433.0,1808.0,4660.0,77.42,,,,,,,annual,partial,https://zgrkk.com/reports/1491.html,2020秦皇岛市统计公报已核验：道路客运量、公交车辆、公交客运量、出租车、民用汽车；民航客运量及其余字段未在所引文本中明确，留空。
2021,383.12,,6572.0,1877.0,,,,,,,,,annual,partial,https://zgrkk.com/reports/1317.html,2021秦皇岛市统计公报已核验：道路客运量、公交车辆、公交客运量；出租车、民用汽车、民航及环境字段未在所引文本中明确，留空。
2022,278.19,,3330.0,1742.0,,,,,,,,,annual,partial,https://zgrkk.com/reports/856.html,2022秦皇岛市统计公报已核验：道路客运量、公交车辆、公交客运量；出租车、民用汽车、民航及环境字段未在所引文本中明确，留空。
2023,463.87,22.84,4793.89,1675.0,4543.0,92.24,2.54,,8885.0,357.0,,,annual,partial,https://tjgb.hongheiku.com/djs/53544.html,2023秦皇岛市统计公报已核验：交通运力、车辆、道路长度及新能源汽车；机场航点、PM2.5、优良天数未在所引文本中明确，留空。
2024,573.96,35.41,5271.81,1316.0,4397.0,97.47,4.68,13.0,8995.0,383.0,31.0,84.2,annual,verified,https://www.zgrkk.com/reports/223.html,2024秦皇岛市统计公报已核验。客运量是城市交通/出行代理变量，不等同于旅游游客量；PM2.5和优良天数比例为年度环境控制变量。
2025,,,,,,,,,,,,,annual,missing,,截至本次检索未定位到包含这些绝对指标的秦皇岛市2025年统计公报；保留缺失，不外推。
