year,month,monthly_shape_weight,visitor_estimate,estimate_label,annual_forecast_lower,annual_forecast_upper
2026,1,109.57320703877365,5677494.335127013,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,2,115.16912670867124,5967444.799152648,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,3,110.90206615570503,5746348.668339055,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,4,153.85137133454182,7971750.693527568,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,5,176.9148921571417,9166778.313482683,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,6,180.1367814358938,9333719.289501105,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,7,301.8417458530261,15639816.050825186,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,8,287.66376381172137,14905189.26660999,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,9,145.4831627819326,7538155.128182948,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,10,160.49822387145866,8316154.847103326,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,11,92.54121700430792,4794988.204751537,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,12,89.86757979412968,4656454.702582538,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
