date,region_code,visitor_estimate_q50,demand_scenario,data_basis,parking_capacity_basis,permanent_capacity_available,temporary_capacity_available,peak_spaces_required,permanent_spaces_open,temporary_spaces_open,unserved_spaces,capacity_status,parking_transfer_vehicle_demand,parking_transfer_visitor_demand,parking_management_action,recommended_shuttle_vehicles,entry_early_shift,entry_middle_shift,entry_late_shift,entry_staff_shifts,parking_early_shift,parking_middle_shift,parking_late_shift,parking_staff_shifts,driver_early_shift,driver_middle_shift,driver_late_shift,driver_staff_shifts,recommended_total_staff_shifts,output_status,forecast_quantile,parameter_basis,parameter_note,season,selected_temporary_spaces,selected_shuttle_vehicles,selected_staff_shifts,parking_unserved_spaces,shuttle_shortfall,staff_shortfall,standardized_experience_loss,relative_operating_cost,objective,risk_penalty,optimization_status
2026-01-01,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score
2026-01-02,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score
2026-01-03,BDH,1394.1995177888964,conservative,derived_planning_value,historical_reference_scenario,10000,0,56,56,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,3,1,0,1,2,0,1,0,1,0,3,0,3,6,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",low_season,0.0,3.0,6.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score
2026-01-04,BDH,4425.994463868676,conservative,derived_planning_value,historical_reference_scenario,10000,0,176,176,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,3,3,0,3,6,1,0,1,2,0,3,0,3,11,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",low_season,0.0,3.0,11.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score
2026-01-05,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score
2026-01-06,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score
2026-01-07,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score
2026-01-08,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score
2026-01-09,BDH,0.0,conservative,derived_planning_value,historical_reference_scenario,10000,0,0,0,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,3,0,1,0,1,0,1,0,1,0,3,0,3,5,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",low_season,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score
2026-01-10,BDH,4440.43024024707,conservative,derived_planning_value,historical_reference_scenario,10000,0,176,176,0,0,permanent_capacity_sufficient,0,0,on_site_capacity_sufficient,3,3,0,3,6,1,0,1,2,0,3,0,3,11,recommended_planning_configuration_not_operating_ledger,visitor_estimate_q10,scenario_parameter,"2017 public parking network exceeded 13,000 spaces; 10,000 is a conservative planning availability scenario, not a current inventory.",low_season,0.0,3.0,11.0,0.0,0.0,0.0,0.0,2.2,2.2,4.0,relative_cost_and_standardized_experience_loss__not_currency_or_survey_score
