region_code,demand_scenario,forecast_quantile,season,parking_capacity_basis,representative_daily_visitors,peak_daily_visitors,max_peak_spaces_required,max_temporary_spaces_open,max_unserved_spaces,max_shuttle_vehicles,max_total_staff_shifts,parking_overflow_days,result_status
BDH,central,visitor_estimate_q50,low_season,historical_reference_scenario,5386.078058747183,34379.14360714639,2533,0,0,9,79,0,scenario_planning_value_not_operating_ledger
BDH,central,visitor_estimate_q50,peak_summer,historical_reference_scenario,80254.98307921251,135081.02705673446,9951,0,0,36,308,0,scenario_planning_value_not_operating_ledger
BDH,central,visitor_estimate_q50,shoulder,historical_reference_scenario,23687.655133373395,87772.55390081962,6466,0,0,23,200,0,scenario_planning_value_not_operating_ledger
BDH,conservative,visitor_estimate_q10,low_season,historical_reference_scenario,0.0,5111.425074946642,203,0,0,3,13,0,scenario_planning_value_not_operating_ledger
BDH,conservative,visitor_estimate_q10,peak_summer,historical_reference_scenario,11932.156821243023,20083.58779198366,795,0,0,4,38,0,scenario_planning_value_not_operating_ledger
BDH,conservative,visitor_estimate_q10,shoulder,historical_reference_scenario,2014.9762233721015,13049.854819754606,517,0,0,3,25,0,scenario_planning_value_not_operating_ledger
BDH,stress,visitor_estimate_q90,low_season,historical_reference_scenario,26377.900924665155,63646.862139346136,8688,0,0,32,184,0,scenario_planning_value_not_operating_ledger
BDH,stress,visitor_estimate_q90,peak_summer,historical_reference_scenario,148577.80933718197,250078.4663214853,34136,0,21136,123,718,48,scenario_planning_value_not_operating_ledger
BDH,stress,visitor_estimate_q90,shoulder,historical_reference_scenario,49013.982069514735,162495.2529818846,22181,0,9181,80,467,15,scenario_planning_value_not_operating_ledger
HGA,central,visitor_estimate_q50,low_season,legacy_reference_scenario,19293.719961813586,28039.766690108296,1878,0,378,5,61,43,scenario_planning_value_not_operating_ledger
HGA,central,visitor_estimate_q50,peak_summer,legacy_reference_scenario,41386.58040643956,57337.30750358483,3840,0,2340,9,121,62,scenario_planning_value_not_operating_ledger
HGA,central,visitor_estimate_q50,shoulder,legacy_reference_scenario,24929.255653102857,43573.69280612464,2918,0,1418,7,93,114,scenario_planning_value_not_operating_ledger
HGA,conservative,visitor_estimate_q10,low_season,scenario_parameter,2868.5532463732666,4168.898684424488,147,0,0,2,10,0,scenario_planning_value_not_operating_ledger
HGA,conservative,visitor_estimate_q10,peak_summer,scenario_parameter,6153.277326308874,8524.800811001824,300,0,0,2,17,0,scenario_planning_value_not_operating_ledger
HGA,conservative,visitor_estimate_q10,shoulder,scenario_parameter,3706.433874593014,6478.452999362963,228,0,0,2,13,0,scenario_planning_value_not_operating_ledger
HGA,stress,visitor_estimate_q90,low_season,scenario_parameter,35718.8866772539,51910.634695792105,6541,500,4541,21,142,151,scenario_planning_value_not_operating_ledger
HGA,stress,visitor_estimate_q90,peak_summer,scenario_parameter,76619.88348657027,106149.81419616783,13375,500,11375,42,288,62,scenario_planning_value_not_operating_ledger
HGA,stress,visitor_estimate_q90,shoulder,scenario_parameter,46152.07743161269,80668.9326128863,10165,500,8165,32,220,152,scenario_planning_value_not_operating_ledger
SHG,central,visitor_estimate_q50,low_season,verified_node,7286.376281773982,23137.908988406987,1705,0,0,4,52,0,scenario_planning_value_not_operating_ledger
SHG,central,visitor_estimate_q50,peak_summer,verified_node,78536.94193374593,144744.11877293518,10662,0,8437,23,314,55,scenario_planning_value_not_operating_ledger
SHG,central,visitor_estimate_q50,shoulder,verified_node,10227.014517387806,87615.05708995396,6454,0,4229,14,191,43,scenario_planning_value_not_operating_ledger
SHG,conservative,visitor_estimate_q10,low_season,verified_node,0.0,0.0,0,0,0,2,4,0,scenario_planning_value_not_operating_ledger
SHG,conservative,visitor_estimate_q10,peak_summer,verified_node,11676.721761804762,21520.27771841424,852,0,0,3,40,0,scenario_planning_value_not_operating_ledger
SHG,conservative,visitor_estimate_q10,shoulder,verified_node,0.0,13026.43849625679,516,0,0,2,24,0,scenario_planning_value_not_operating_ledger
SHG,stress,visitor_estimate_q90,low_season,verified_node_with_holiday_buffer,13489.42812540186,55898.19214400812,7631,1000,4406,22,156,45,scenario_planning_value_not_operating_ledger
SHG,stress,visitor_estimate_q90,peak_summer,verified_node_with_holiday_buffer,145397.16210568708,267967.9598274561,36578,1000,33353,105,742,62,scenario_planning_value_not_operating_ledger
SHG,stress,visitor_estimate_q90,shoulder,verified_node_with_holiday_buffer,40810.73868387508,162203.67568365112,22141,1000,18916,64,450,130,scenario_planning_value_not_operating_ledger
