date,relative_pressure,base_service_tier,staff_tier,entry_tier,parking_guidance_tier,shuttle_tier,recommended_action
2026-07-01,1.9930646522630793,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-02,2.2066478334617274,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-03,2.206016014550003,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-04,3.664433407626252,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-05,4.122248763067465,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-06,2.880189841301419,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-07,2.4506252870314174,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-08,2.680088215703369,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-09,2.7336737851766073,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-10,2.599269437320904,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-11,4.207291377331856,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-12,4.49915857320248,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-13,3.281440933776091,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-14,2.9309539139492697,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-15,3.186282352794441,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-16,3.251228482534693,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-17,3.412911455099721,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-18,5.148530194998121,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-19,5.656995843796242,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-20,4.316720150797096,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-21,3.6564027555389034,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-22,4.003957780401205,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-23,3.9872273434362375,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-24,4.397753595248534,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-25,6.0644064983469015,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-26,6.041661557790823,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-27,4.290889803019636,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-28,3.9600706761368696,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-29,3.6577581207378116,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-30,4.077296420963969,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-31,3.8032415809199294,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-01,5.518808375518484,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-02,5.82775186277019,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-03,4.1319196393519615,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-04,4.572036215063354,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-05,4.723419812182675,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-06,4.8488755922714555,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-07,4.179877225566222,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-08,5.870084567206196,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-09,6.16216659706536,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-10,5.016956299271347,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-11,4.04083906226629,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-12,3.7131094419913064,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-13,3.7528558954289286,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
