year,month,monthly_shape_weight,visitor_estimate,estimate_label,annual_forecast_lower,annual_forecast_upper
2026,1,109.6939657012937,5670690.048704957,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,2,115.23813477684388,5957298.926450082,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,3,111.40607735585502,5759198.604847696,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,4,154.19354425653592,7971120.301832366,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,5,177.32710150086172,9167022.300797088,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,6,180.39636537785276,9325689.589492781,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,7,302.2498847783702,15624974.472180191,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,8,288.12563354584967,14894813.515762893,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,9,145.92531909310821,7543689.842417875,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,10,161.00952681369142,8323476.278862673,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,11,93.0736806590513,4811495.248032596,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
2026,12,90.2364911120323,4664825.169804379,official_annual_total_constrained_monthly_visitor_estimate,36384382.72642431,273274953.2222651
