year,official_tourists,trend_component,random_component,unit,series_scope
2002,8011.0,6967.0,1044.0,thousand_person_visits,official_citywide_annual_domestic_tourists
2003,5923.0,8684.666666666666,-2761.666666666666,thousand_person_visits,official_citywide_annual_domestic_tourists
2004,12120.0,10354.333333333334,1765.666666666666,thousand_person_visits,official_citywide_annual_domestic_tourists
2005,13020.0,13076.666666666666,-56.66666666666606,thousand_person_visits,official_citywide_annual_domestic_tourists
2006,14090.0,14070.0,20.0,thousand_person_visits,official_citywide_annual_domestic_tourists
2007,15100.0,13819.333333333334,1280.666666666666,thousand_person_visits,official_citywide_annual_domestic_tourists
2008,12268.0,14584.0,-2316.0,thousand_person_visits,official_citywide_annual_domestic_tourists
2009,16384.0,15752.333333333334,631.6666666666661,thousand_person_visits,official_citywide_annual_domestic_tourists
2010,18605.0,18667.0,-62.0,thousand_person_visits,official_citywide_annual_domestic_tourists
2011,21012.0,20915.666666666668,96.33333333333212,thousand_person_visits,official_citywide_annual_domestic_tourists
2012,23130.0,23264.8,-134.79999999999927,thousand_person_visits,official_citywide_annual_domestic_tourists
2013,25652.4,25767.36666666667,-114.96666666666715,thousand_person_visits,official_citywide_annual_domestic_tourists
2014,28519.7,29204.033333333336,-684.3333333333358,thousand_person_visits,official_citywide_annual_domestic_tourists
2015,33440.0,34616.333333333336,-1176.3333333333358,thousand_person_visits,official_citywide_annual_domestic_tourists
2016,41889.3,42521.43333333334,-632.1333333333387,thousand_person_visits,official_citywide_annual_domestic_tourists
2017,52235.0,52101.36666666667,133.6333333333314,thousand_person_visits,official_citywide_annual_domestic_tourists
2018,62179.8,62230.5,-50.69999999999709,thousand_person_visits,official_citywide_annual_domestic_tourists
2019,72276.7,53752.53333333333,18524.166666666664,thousand_person_visits,official_citywide_annual_domestic_tourists
2020,26801.1,43435.700000000004,-16634.600000000006,thousand_person_visits,official_citywide_annual_domestic_tourists
2021,31229.3,25629.400000000005,5599.899999999994,thousand_person_visits,official_citywide_annual_domestic_tourists
2022,18857.8,43447.43333333334,-24589.633333333342,thousand_person_visits,official_citywide_annual_domestic_tourists
2023,80255.2,62856.73333333334,17398.46666666666,thousand_person_visits,official_citywide_annual_domestic_tourists
2024,89457.2,84856.20000000001,4600.999999999985,thousand_person_visits,official_citywide_annual_domestic_tourists
