region_code,demand_scenario,forecast_quantile,season,parking_capacity_basis,representative_daily_visitors,peak_daily_visitors,max_peak_spaces_required,max_temporary_spaces_open,max_unserved_spaces,max_shuttle_vehicles,max_total_staff_shifts,parking_overflow_days,result_status
BDH,central,visitor_estimate_q50,low_season,historical_reference_scenario,5923.823185814118,33012.400007478056,2432,0,0,9,77,0,scenario_planning_value_not_operating_ledger
BDH,central,visitor_estimate_q50,peak_summer,historical_reference_scenario,80093.64864434543,127177.02783069774,9368,0,0,34,291,0,scenario_planning_value_not_operating_ledger
BDH,central,visitor_estimate_q50,shoulder,historical_reference_scenario,24545.5521290037,78944.21866704078,5816,0,0,21,181,0,scenario_planning_value_not_operating_ledger
BDH,conservative,visitor_estimate_q10,low_season,historical_reference_scenario,0.0,8056.093503850038,319,0,0,3,17,0,scenario_planning_value_not_operating_ledger
BDH,conservative,visitor_estimate_q10,peak_summer,historical_reference_scenario,32742.782591402276,51990.761357020994,2057,0,0,9,96,0,scenario_planning_value_not_operating_ledger
BDH,conservative,visitor_estimate_q10,shoulder,historical_reference_scenario,913.9018649065661,32272.88845512628,1277,0,0,6,61,0,scenario_planning_value_not_operating_ledger
BDH,stress,visitor_estimate_q90,low_season,historical_reference_scenario,30484.659317889545,62597.33156023263,8545,0,0,31,180,0,scenario_planning_value_not_operating_ledger
BDH,stress,visitor_estimate_q90,peak_summer,historical_reference_scenario,127444.51469728861,202363.2943043745,27623,0,14623,99,581,45,scenario_planning_value_not_operating_ledger
BDH,stress,visitor_estimate_q90,shoulder,historical_reference_scenario,52560.14457040968,125615.54887895528,17147,0,4147,62,362,10,scenario_planning_value_not_operating_ledger
HGA,central,visitor_estimate_q50,low_season,legacy_reference_scenario,19567.4526871688,28007.832058681244,1876,0,376,5,61,43,scenario_planning_value_not_operating_ledger
HGA,central,visitor_estimate_q50,peak_summer,legacy_reference_scenario,40973.22086594836,58099.33258208008,3891,0,2391,10,125,62,scenario_planning_value_not_operating_ledger
HGA,central,visitor_estimate_q50,shoulder,legacy_reference_scenario,25158.536509870588,41062.97136077941,2750,0,1250,7,88,124,scenario_planning_value_not_operating_ledger
HGA,conservative,visitor_estimate_q10,low_season,scenario_parameter,6463.119294145703,9250.972145411468,326,0,0,2,18,0,scenario_planning_value_not_operating_ledger
HGA,conservative,visitor_estimate_q10,peak_summer,scenario_parameter,13533.43322483945,19190.17888488177,675,0,0,2,34,0,scenario_planning_value_not_operating_ledger
HGA,conservative,visitor_estimate_q10,shoulder,scenario_parameter,8309.851329603012,13563.077765908509,477,0,0,2,25,0,scenario_planning_value_not_operating_ledger
HGA,stress,visitor_estimate_q90,low_season,scenario_parameter,32671.78608019189,46764.69197195102,5893,500,3893,19,129,151,scenario_planning_value_not_operating_ledger
HGA,stress,visitor_estimate_q90,peak_summer,scenario_parameter,68413.00850705727,97008.48627927838,12224,500,10224,38,263,62,scenario_planning_value_not_operating_ledger
HGA,stress,visitor_estimate_q90,shoulder,scenario_parameter,42007.22169013816,68562.86495565031,8639,500,6639,27,187,152,scenario_planning_value_not_operating_ledger
SHG,central,visitor_estimate_q50,low_season,verified_node,7123.694167452342,24622.85130958496,1814,0,0,4,55,0,scenario_planning_value_not_operating_ledger
SHG,central,visitor_estimate_q50,peak_summer,verified_node,77884.08659054324,135069.12585778357,9950,0,7725,22,294,57,scenario_planning_value_not_operating_ledger
SHG,central,visitor_estimate_q50,shoulder,verified_node,11466.045515265012,80126.67334770385,5903,0,3678,13,175,35,scenario_planning_value_not_operating_ledger
SHG,conservative,visitor_estimate_q10,low_season,verified_node,0.0,0.0,0,0,0,2,4,0,scenario_planning_value_not_operating_ledger
SHG,conservative,visitor_estimate_q10,peak_summer,verified_node,0.0,0.0,0,0,0,2,4,0,scenario_planning_value_not_operating_ledger
SHG,conservative,visitor_estimate_q10,shoulder,verified_node,0.0,0.0,0,0,0,2,4,0,scenario_planning_value_not_operating_ledger
SHG,stress,visitor_estimate_q90,low_season,verified_node_with_holiday_buffer,24754.776418244408,85564.19810010464,11680,1000,8455,34,238,151,scenario_planning_value_not_operating_ledger
SHG,stress,visitor_estimate_q90,peak_summer,verified_node_with_holiday_buffer,270646.5360201729,469364.0592957861,64069,1000,60844,184,1300,62,scenario_planning_value_not_operating_ledger
SHG,stress,visitor_estimate_q90,shoulder,verified_node_with_holiday_buffer,45326.5542781361,278439.5058567598,38007,1000,34782,109,772,152,scenario_planning_value_not_operating_ledger
