region_code,demand_scenario,forecast_quantile,season,parking_capacity_basis,representative_daily_visitors,peak_daily_visitors,max_peak_spaces_required,max_temporary_spaces_open,max_unserved_spaces,max_shuttle_vehicles,max_total_staff_shifts,parking_overflow_days,result_status
BDH,central,visitor_estimate_q50,low_season,historical_reference_scenario,5888.150380350682,33180.29651378642,2445,0,0,9,77,0,scenario_planning_value_not_operating_ledger
BDH,central,visitor_estimate_q50,peak_summer,historical_reference_scenario,80033.64393537753,127462.26724531804,9389,0,0,34,291,0,scenario_planning_value_not_operating_ledger
BDH,central,visitor_estimate_q50,shoulder,historical_reference_scenario,24565.516588809576,79126.04469647366,5829,0,0,21,181,0,scenario_planning_value_not_operating_ledger
BDH,conservative,visitor_estimate_q10,low_season,historical_reference_scenario,0.0,8155.549474665274,323,0,0,3,17,0,scenario_planning_value_not_operating_ledger
BDH,conservative,visitor_estimate_q10,peak_summer,historical_reference_scenario,32676.685789843283,52041.16983851591,2059,0,0,9,96,0,scenario_planning_value_not_operating_ledger
BDH,conservative,visitor_estimate_q10,shoulder,historical_reference_scenario,890.4969170331294,32306.12493950003,1278,0,0,6,61,0,scenario_planning_value_not_operating_ledger
BDH,stress,visitor_estimate_q90,low_season,historical_reference_scenario,30491.65193143004,62854.23028234104,8580,0,0,31,182,0,scenario_planning_value_not_operating_ledger
BDH,stress,visitor_estimate_q90,peak_summer,historical_reference_scenario,127390.60208091178,202883.3646521202,27694,0,14694,100,583,45,scenario_planning_value_not_operating_ledger
BDH,stress,visitor_estimate_q90,shoulder,historical_reference_scenario,52638.965827327615,125945.96445344728,17192,0,4192,62,362,10,scenario_planning_value_not_operating_ledger
HGA,central,visitor_estimate_q50,low_season,legacy_reference_scenario,19544.270355820965,28047.94091571384,1879,0,379,5,61,43,scenario_planning_value_not_operating_ledger
HGA,central,visitor_estimate_q50,peak_summer,legacy_reference_scenario,40989.95911158252,58204.09082735251,3898,0,2398,10,125,62,scenario_planning_value_not_operating_ledger
HGA,central,visitor_estimate_q50,shoulder,legacy_reference_scenario,25121.730495560965,41129.90518351584,2755,0,1255,7,88,124,scenario_planning_value_not_operating_ledger
HGA,conservative,visitor_estimate_q10,low_season,scenario_parameter,6457.055825650705,9266.507113854816,326,0,0,2,18,0,scenario_planning_value_not_operating_ledger
HGA,conservative,visitor_estimate_q10,peak_summer,scenario_parameter,13542.304187160345,19229.526450012745,677,0,0,2,34,0,scenario_planning_value_not_operating_ledger
HGA,conservative,visitor_estimate_q10,shoulder,scenario_parameter,8299.742752917678,13588.539712079026,478,0,0,2,25,0,scenario_planning_value_not_operating_ledger
HGA,stress,visitor_estimate_q90,low_season,scenario_parameter,32631.484885991224,46829.37471757286,5901,500,3901,19,129,151,scenario_planning_value_not_operating_ledger
HGA,stress,visitor_estimate_q90,peak_summer,scenario_parameter,68437.61403600468,97178.65520469227,12245,500,10245,38,263,62,scenario_planning_value_not_operating_ledger
HGA,stress,visitor_estimate_q90,shoulder,scenario_parameter,41943.71823820425,68671.27065495265,8653,500,6653,27,187,152,scenario_planning_value_not_operating_ledger
SHG,central,visitor_estimate_q50,low_season,verified_node,7286.376281773982,24860.091296767503,1832,0,0,4,55,0,scenario_planning_value_not_operating_ledger
SHG,central,visitor_estimate_q50,peak_summer,verified_node,77962.76973290833,135473.65877749733,9980,0,7755,22,295,57,scenario_planning_value_not_operating_ledger
SHG,central,visitor_estimate_q50,shoulder,verified_node,11396.18085698285,80517.1349536604,5931,0,3706,13,176,36,scenario_planning_value_not_operating_ledger
SHG,conservative,visitor_estimate_q10,low_season,verified_node,0.0,0.0,0,0,0,2,4,0,scenario_planning_value_not_operating_ledger
SHG,conservative,visitor_estimate_q10,peak_summer,verified_node,0.0,0.0,0,0,0,2,4,0,scenario_planning_value_not_operating_ledger
SHG,conservative,visitor_estimate_q10,shoulder,verified_node,0.0,0.0,0,0,0,2,4,0,scenario_planning_value_not_operating_ledger
SHG,stress,visitor_estimate_q90,low_season,verified_node_with_holiday_buffer,18742.050204390744,63945.2398766752,8729,1000,5504,25,177,49,scenario_planning_value_not_operating_ledger
SHG,stress,visitor_estimate_q90,peak_summer,verified_node_with_holiday_buffer,200536.1908171692,348465.96112960874,47566,1000,44341,137,966,62,scenario_planning_value_not_operating_ledger
SHG,stress,visitor_estimate_q90,shoulder,verified_node_with_holiday_buffer,45317.55609776011,207106.5406531276,28271,1000,25046,81,574,138,scenario_planning_value_not_operating_ledger
