date,relative_pressure,base_service_tier,staff_tier,entry_tier,parking_guidance_tier,shuttle_tier,recommended_action
2026-07-01,2.3081649834690308,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-02,2.417896368158757,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-03,2.412447949331541,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-04,3.9108379130833035,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-05,4.1303053634562525,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-06,2.9572594310153866,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-07,2.8788224259336497,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-08,2.951720436961601,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-09,2.903936393869674,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-10,2.774786687735233,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-11,4.412341259301059,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-12,4.440901041545415,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-13,3.314918904527386,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-14,3.3307709980379103,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-15,3.4181080159911192,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-16,3.373851652270208,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-17,3.5166957945514365,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-18,5.265772801466582,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-19,5.490042916943284,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-20,4.245091342727268,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-21,3.9927882028225863,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-22,4.16114450560046,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-23,4.034276959136324,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-24,4.404719553275537,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-25,6.0856008903347565,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-26,5.809243655320329,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-07-27,4.213462733825754,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-28,4.277835492196943,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-29,3.779597912361956,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-30,4.097469085811844,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-07-31,3.8556671983905586,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-01,5.58080788505904,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-02,5.615631796450393,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-03,4.054478786432281,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-04,4.8383875977554665,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-05,4.7921245347113794,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-06,4.792715394408179,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-07,4.186661420919619,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-08,5.88495369297279,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-09,5.899442822925412,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-10,4.839501239867622,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-11,4.33491749203845,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-12,3.8589773947399655,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-13,3.786638643423327,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-14,3.5582742046112723,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-15,4.864038789196029,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-16,4.463247479521344,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-17,2.8476888196273316,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-18,2.819277684879328,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-19,2.1777019483029276,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-20,2.244531923387229,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-21,2.2924787527070865,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-22,3.328406375700033,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-23,3.0538447163085927,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-24,1.8401539916841083,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-25,1.6867219248960639,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-29,2.1031405411747963,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-30,2.0533549828639126,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
