date,region_code,baseline_visitors,scenario_visitors,baseline_service_gap,baseline_shuttle_vehicles,reoptimized_shuttle_vehicles,baseline_staff_shifts,reoptimized_staff_shifts,reoptimized_temporary_spaces,reoptimized_relative_cost,reoptimized_experience_loss,parking_unserved_spaces,shuttle_shortfall,staff_shortfall,baseline_parking_unserved_spaces,baseline_shuttle_shortfall,baseline_staff_shortfall,recommended_shuttle_vehicles,recommended_total_staff_shifts,average_party_size,transfer_share,visitor_estimate_q50,scenario_status,reoptimized_traveler_time_loss_hours,reoptimized_traveler_time_loss_cny,vot_cost_status,baseline_traveler_time_loss_hours,baseline_traveler_time_loss_cny,scenario_name
2026-01-01,BDH,5386.078058747183,5386.078058747183,0.0,3,3.0,15,15.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,15,2.8,0.1,5386.078058747183,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-02,BDH,5386.078058747183,5386.078058747183,0.0,3,3.0,15,15.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,15,2.8,0.1,5386.078058747183,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-03,BDH,22270.43656451829,22270.43656451829,0.0,6,6.0,52,52.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,6,52,2.8,0.1,22270.43656451829,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-04,BDH,25093.09026213395,25093.09026213395,0.0,7,7.0,59,59.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,7,59,2.8,0.1,25093.09026213395,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-05,BDH,7310.771947861467,7310.771947861467,0.0,3,3.0,19,19.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,19,2.8,0.1,7310.771947861467,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-06,BDH,7288.1544854835665,7288.1544854835665,0.0,3,3.0,19,19.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,19,2.8,0.1,7288.1544854835665,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-07,BDH,5386.078058747183,5386.078058747183,0.0,3,3.0,15,15.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,15,2.8,0.1,5386.078058747183,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-08,BDH,5386.078058747183,5386.078058747183,0.0,3,3.0,15,15.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,15,2.8,0.1,5386.078058747183,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-09,BDH,5386.078058747183,5386.078058747183,0.0,3,3.0,15,15.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,15,2.8,0.1,5386.078058747183,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-10,BDH,28330.01488795877,28330.01488795877,0.0,8,8.0,66,66.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,8,66,2.8,0.1,28330.01488795877,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-11,BDH,23109.82996819505,23109.82996819505,0.0,7,7.0,55,55.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,7,55,2.8,0.1,23109.82996819505,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-12,BDH,5386.078058747183,5386.078058747183,0.0,3,3.0,15,15.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,15,2.8,0.1,5386.078058747183,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-13,BDH,5984.622564082751,5984.622564082751,0.0,3,3.0,16,16.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,16,2.8,0.1,5984.622564082751,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-14,BDH,5580.652757579192,5580.652757579192,0.0,3,3.0,15,15.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,15,2.8,0.1,5580.652757579192,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-15,BDH,5386.078058747183,5386.078058747183,0.0,3,3.0,15,15.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,15,2.8,0.1,5386.078058747183,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-16,BDH,5386.078058747183,5386.078058747183,0.0,3,3.0,15,15.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,15,2.8,0.1,5386.078058747183,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-17,BDH,22890.69346921312,22890.69346921312,0.0,6,6.0,53,53.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,6,53,2.8,0.1,22890.69346921312,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-18,BDH,21457.00490613812,21457.00490613812,0.0,6,6.0,50,50.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,6,50,2.8,0.1,21457.00490613812,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-19,BDH,5386.078058747183,5386.078058747183,0.0,3,3.0,15,15.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,15,2.8,0.1,5386.078058747183,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-20,BDH,5928.09562737565,5928.09562737565,0.0,3,3.0,16,16.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,16,2.8,0.1,5928.09562737565,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
2026-01-21,BDH,5386.078058747183,5386.078058747183,0.0,3,3.0,15,15.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0,3,15,2.8,0.1,5386.078058747183,counterfactual_planning_simulation,0.0,0.0,traveler_time_loss_scenario_estimate_not_operator_cash_ledger,0.0,0.0,beidaihe_summer_cultural_event
